bar,beat,onset
-1,1,9.1718820861678
0,1,10.339795918367347
1,1,11.514126984126984
2,1,12.703628117913832
3,1,13.894399092970522
4,1,15.0502947845805
5,1,16.230317460317462
6,1,17.361315192743763
7,1,18.508004535147393
8,1,19.655759637188208
9,1,20.794557823129253
10,1,21.969455782312924
11,1,23.120249433106576
12,1,24.264308390022677
13,1,25.390272108843536
14,1,26.55297052154195
15,1,27.683242630385486
16,1,28.829070294784582
17,1,29.94628117913832
18,1,31.081678004535146
19,1,32.193061224489796
20,1,33.29981859410431
21,1,34.428503401360544
22,1,35.588208616780044
23,1,36.72183673469388
24,1,37.8350566893424
25,1,38.94487528344671
26,1,40.054807256235826
27,1,41.19238095238095
28,1,42.30351473922902
29,1,43.41151927437642
30,1,44.549410430839
31,1,45.65766439909297
32,1,46.79195011337868
33,1,47.905102040816324
34,1,49.03725623582766
35,1,50.144285714285715
36,1,51.249002267573694
37,1,52.3471201814059
38,1,53.4533560090703
39,1,54.56734693877551
40,1,55.67124716553288
41,1,56.78802721088435
42,1,57.90857142857143
43,1,59.03517006802721
44,1,60.14278911564626
45,1,61.23877551020408
46,1,62.33517006802721
47,1,63.43909297052154
48,1,64.55904761904762
49,1,65.67183673469388
50,1,66.79133786848072
51,1,67.89242630385488
52,1,68.97414965986394
53,1,70.08387755102041
54,1,71.17736961451247
55,1,72.25496598639455
56,1,73.36383219954648
57,1,74.43637188208616
58,1,75.54149659863945
59,1,76.65882086167801
60,1,77.72562358276645
61,1,78.83972789115646
62,1,79.9584126984127
63,1,81.04274376417233
64,1,82.14297052154195
65,1,83.22532879818594
66,1,84.33934240362812
67,1,85.43557823129251
68,1,86.55061224489796
69,1,87.64947845804988
70,1,88.718231292517
71,1,89.77514739229025
72,1,90.8519954648526
73,1,91.92122448979592
74,1,92.99312925170068
75,1,94.07020408163265
76,1,95.15392290249433
77,1,96.20090702947846
78,1,97.25816326530612
79,1,98.34312925170067
80,1,99.41188208616781
81,1,100.46104308390022
82,1,101.50879818594105
83,1,102.60047619047619
84,1,103.66941043083901
85,1,104.74308390022675
86,1,105.82551020408164
87,1,106.89705215419501
88,1,107.93133786848072
89,1,109.01421768707483
90,1,110.08961451247166
91,1,111.18367346938776
92,1,112.26571428571428
93,1,113.3424036281179
94,1,114.41045351473923
95,1,115.4765306122449
96,1,116.57156462585034
97,1,117.6630612244898
98,1,118.7518820861678
99,1,119.83131519274376
100,1,120.92507936507937
101,1,122.0187074829932
102,1,123.09637188208617
103,1,124.17591836734694
104,1,125.22972789115646
105,1,126.28630385487529
106,1,127.37358276643991
107,1,128.45133786848072
108,1,129.50945578231293
109,1,130.56312925170067
110,1,131.6278231292517
111,1,132.67272108843537
112,1,133.72519274376418
113,1,134.788820861678
114,1,135.8567120181406
115,1,136.9326530612245
116,1,138.03172335600908
117,1,139.07126984126984
118,1,140.12015873015872
119,1,141.19174603174602
120,1,142.25739229024944
121,1,143.3380045351474
122,1,144.3951700680272
123,1,145.44419501133788
124,1,146.5091156462585
125,1,147.55580498866212
126,1,148.61437641723356
127,1,149.67727891156463
128,1,150.72226757369614
129,1,151.77201814058958
130,1,152.8337641723356
131,1,153.93378684807257
