bar,beat,onset
-1,1,2.6007256235827665
0,1,4.2
1,1,5.717278911564626
2,1,7.267891156462585
3,1,8.814580498866214
4,1,10.335963718820862
5,1,11.86031746031746
6,1,13.37562358276644
7,1,14.884444444444444
8,1,16.346167800453514
9,1,17.83079365079365
10,1,19.343945578231292
11,1,20.825260770975056
12,1,22.328390022675737
13,1,23.788798185941044
14,1,25.250340136054422
15,1,26.703560090702947
16,1,28.205396825396825
17,1,29.73362811791383
18,1,31.308163265306124
19,1,32.79120181405896
20,1,34.25922902494331
21,1,35.77181405895691
22,1,37.247573696145125
23,1,38.71809523809524
24,1,40.17759637188209
25,1,41.63439909297052
26,1,43.09428571428571
27,1,44.617392290249434
28,1,46.06832199546485
29,1,47.50156462585034
30,1,48.99875283446712
31,1,50.47546485260771
32,1,51.96122448979592
33,1,53.48136054421769
34,1,54.98215419501134
35,1,56.47052154195011
36,1,57.94351473922902
37,1,59.42394557823129
38,1,60.84700680272109
39,1,62.263945578231294
40,1,63.74920634920635
41,1,65.17510204081633
42,1,66.59859410430839
43,1,68.03521541950113
44,1,69.47743764172336
45,1,70.91204081632652
46,1,72.32573696145124
47,1,73.7565306122449
48,1,75.18727891156463
49,1,76.66725623582767
50,1,78.09965986394558
51,1,79.55480725623583
52,1,80.99045351473923
53,1,82.40435374149659
54,1,83.82303854875283
55,1,85.25698412698412
56,1,86.68684807256236
57,1,88.14201814058957
58,1,89.58773242630386
59,1,91.00934240362812
60,1,92.42836734693877
61,1,93.83943310657597
62,1,95.26931972789116
63,1,96.69662131519274
64,1,98.18752834467121
65,1,99.5936507936508
66,1,100.97571428571429
67,1,102.36190476190477
68,1,103.77453514739229
69,1,105.19219954648526
70,1,106.59190476190476
71,1,107.9902947845805
72,1,109.38310657596372
73,1,110.79428571428572
74,1,112.20283446712018
75,1,113.61625850340135
76,1,115.01777777777778
77,1,116.38494331065759
78,1,117.78160997732427
79,1,119.19809523809523
80,1,120.57396825396826
81,1,122.01344671201814
82,1,123.45190476190476
83,1,124.86371882086168
84,1,126.2831746031746
85,1,127.6647619047619
86,1,129.04689342403628
87,1,130.43142857142857
88,1,131.8307029478458
89,1,133.21390022675737
90,1,134.59850340136055
91,1,136.02687074829933
92,1,137.37866213151926
93,1,138.8163492063492
94,1,140.17360544217686
95,1,141.59467120181407
96,1,143.05938775510205
97,1,144.4542857142857
98,1,145.83020408163264
99,1,147.20551020408163
100,1,148.59938775510204
101,1,150.0077097505669
102,1,151.43566893424037
103,1,152.81448979591838
104,1,154.1834693877551
105,1,155.5824716553288
106,1,156.9674149659864
107,1,158.34267573696144
108,1,159.73104308390023
109,1,161.1102947845805
110,1,162.49968253968254
111,1,163.8718367346939
112,1,165.26408163265307
113,1,166.6834693877551
114,1,168.08469387755102
115,1,169.48244897959182
116,1,170.8490022675737
117,1,172.1985260770975
118,1,173.580589569161
119,1,174.95655328798185
120,1,176.3349886621315
121,1,177.69426303854874
122,1,179.0722902494331
123,1,180.41297052154195
124,1,181.78233560090703
125,1,183.177641723356
126,1,184.5530612244898
127,1,185.90213151927438
