bar,beat,onset
-1,1,3.052380952380952
0,1,5.080702947845805
1,1,7.131632653061224
2,1,9.175510204081633
3,1,11.153492063492063
4,1,13.21795918367347
5,1,15.242993197278912
6,1,17.298208616780045
7,1,19.293877551020408
8,1,21.284761904761904
9,1,23.354580498866213
10,1,25.342267573696144
11,1,27.341496598639456
12,1,29.44328798185941
13,1,31.441995464852607
14,1,33.491451247165536
15,1,35.46750566893424
16,1,37.51582766439909
17,1,39.4902947845805
18,1,41.517278911564624
19,1,43.58229024943311
20,1,45.56428571428572
21,1,47.57768707482993
22,1,49.55863945578231
23,1,51.59854875283447
24,1,53.63832199546485
25,1,55.6428798185941
26,1,57.67231292517007
27,1,59.71149659863946
28,1,61.767437641723355
29,1,63.794263038548756
30,1,65.82698412698413
31,1,67.82646258503401
32,1,69.86861678004536
33,1,71.88866213151927
34,1,73.95668934240364
35,1,75.99573696145124
36,1,77.99174603174603
37,1,80.00265306122449
38,1,82.0484126984127
39,1,84.06689342403628
40,1,86.12086167800453
41,1,88.11907029478458
42,1,90.18986394557822
43,1,92.22027210884353
44,1,94.2207709750567
45,1,96.18897959183674
46,1,98.29725623582766
47,1,100.34646258503402
48,1,102.34351473922902
49,1,104.3722902494331
50,1,106.4068253968254
51,1,108.44092970521542
52,1,110.47802721088435
53,1,112.49360544217687
54,1,114.50340136054422
55,1,116.57868480725624
56,1,118.6256462585034
57,1,120.65444444444445
58,1,122.73857142857143
59,1,124.75226757369614
60,1,126.79487528344671
61,1,128.80689342403628
62,1,130.8461904761905
63,1,132.86489795918368
64,1,134.89133786848072
65,1,136.86673469387756
