bar,beat,onset
0,1,5.151133786848073
1,1,6.297777777777778
2,1,7.433287981859411
3,1,8.616326530612245
4,1,9.823492063492063
5,1,11.034784580498867
6,1,12.191814058956917
7,1,13.358390022675737
8,1,14.541065759637188
9,1,15.708163265306123
10,1,16.865328798185942
11,1,18.06671201814059
12,1,19.227732426303856
13,1,20.420136054421768
14,1,21.6118820861678
15,1,22.759002267573695
16,1,23.92235827664399
17,1,25.137551020408164
18,1,26.348843537414965
19,1,27.541496598639455
20,1,28.71761904761905
21,1,29.884263038548752
22,1,31.076077097505667
23,1,32.25281179138322
24,1,33.39609977324263
25,1,34.55210884353742
26,1,35.74387755102041
27,1,36.92546485260771
28,1,38.09328798185941
29,1,39.23453514739229
30,1,40.416485260770976
31,1,41.59274376417233
32,1,42.77519274376417
33,1,43.92054421768707
34,1,45.1437641723356
35,1,46.30136054421769
36,1,47.46229024943311
37,1,48.654013605442174
38,1,49.81428571428572
39,1,50.95918367346939
40,1,52.13469387755102
41,1,53.29387755102041
42,1,54.45918367346939
43,1,55.641020408163264
44,1,56.80850340136055
45,1,57.984739229024946
46,1,59.176530612244896
47,1,60.35278911564626
48,1,61.53530612244898
49,1,62.70201814058957
50,1,63.88902494331066
51,1,65.07090702947846
52,1,66.23775510204082
53,1,67.3944671201814
54,1,68.56122448979592
55,1,69.72879818594105
56,1,70.88571428571429
57,1,72.07752834467121
58,1,73.2733560090703
59,1,74.47507936507937
60,1,75.63185941043083
61,1,76.77995464852607
62,1,77.98145124716554
63,1,79.13845804988662
64,1,80.2951700680272
65,1,81.4815873015873
66,1,82.64285714285714
67,1,83.79628117913832
68,1,84.96244897959184
69,1,86.13897959183673
70,1,87.32176870748299
71,1,88.5175283446712
72,1,89.6995918367347
73,1,90.8574149659864
74,1,92.01396825396826
75,1,93.20585034013605
76,1,94.36682539682539
77,1,95.53968253968254
78,1,96.70639455782313
79,1,97.86328798185941
80,1,98.99546485260771
81,1,100.17793650793651
82,1,101.3318820861678
83,1,102.50142857142858
84,1,103.68777777777778
85,1,104.86954648526077
86,1,106.04659863945578
87,1,107.22308390022675
88,1,108.35045351473923
89,1,109.51809523809524
90,1,110.69242630385487
91,1,111.83149659863946
92,1,112.99818594104309
93,1,114.16596371882086
94,1,115.3130612244898
95,1,116.46421768707484
96,1,117.61124716553287
97,1,118.7777097505669
98,1,119.91580498866213
