bar,beat,onset
0,1,3.3059410430839002
1,1,4.577256235827664
2,1,5.873378684807256
3,1,7.15344671201814
4,1,8.457414965986395
5,1,9.746938775510204
6,1,10.991655328798187
7,1,12.287913832199546
8,1,13.575668934240364
9,1,14.852222222222222
10,1,16.132086167800452
11,1,17.401904761904763
12,1,18.67809523809524
13,1,19.954467120181405
14,1,21.226802721088436
15,1,22.530884353741495
16,1,23.834829931972788
17,1,25.10077097505669
18,1,26.399115646258505
19,1,27.70312925170068
20,1,28.99061224489796
21,1,30.286802721088435
22,1,31.583673469387755
23,1,32.86544217687075
24,1,34.13913832199547
25,1,35.4572335600907
26,1,36.775510204081634
27,1,38.073197278911564
28,1,39.369138321995464
29,1,40.66684807256236
30,1,41.95374149659864
31,1,43.23705215419501
32,1,44.517165532879815
33,1,45.83750566893424
34,1,47.12528344671202
35,1,48.405963718820864
36,1,49.7091156462585
37,1,51.029659863945575
38,1,52.35324263038549
