bar,beat,onset
-1,1,3.015691609977324
0,1,3.9999319727891156
1,1,4.987664399092971
2,1,6.0003401360544215
3,1,6.978503401360544
4,1,7.983673469387755
5,1,9.02421768707483
6,1,10.057142857142857
7,1,11.058503401360545
8,1,12.056802721088435
9,1,13.060294784580499
10,1,14.082743764172335
11,1,15.077551020408164
12,1,16.048979591836734
13,1,17.036621315192743
14,1,18.06122448979592
15,1,19.09106575963719
16,1,20.074331065759637
17,1,21.077551020408162
18,1,22.050453514739228
19,1,23.06310657596372
20,1,24.036734693877552
21,1,24.98467120181406
22,1,25.991836734693877
23,1,27.000090702947844
24,1,28.007097505668934
25,1,28.972698412698414
26,1,29.968639455782313
27,1,30.969614512471654
28,1,31.975510204081633
29,1,32.93750566893424
30,1,33.934943310657594
31,1,34.85895691609977
32,1,35.836235827664396
33,1,36.84015873015873
34,1,37.83766439909297
