bar,beat,onset
-4,1,1.0894557823129252
-3,1,1.8698412698412699
-2,1,2.6788208616780045
-1,1,3.478775510204082
0,1,4.248458049886621
1,1,5.058231292517007
2,1,5.8723809523809525
3,1,6.682312925170068
4,1,7.442108843537415
5,1,8.2518820861678
6,1,9.056621315192745
7,1,9.85641723356009
8,1,10.645600907029479
9,1,11.419455782312925
10,1,12.243673469387755
11,1,13.033968253968254
12,1,13.832879818594105
13,1,14.65249433106576
14,1,15.43201814058957
15,1,16.237573696145123
16,1,16.99795918367347
17,1,17.755963718820862
18,1,18.536485260770974
