bar,beat,onset
-1,1,1.45
0,1,2.3731746031746033
1,1,3.3131292517006803
2,1,4.215714285714285
3,1,5.129795918367347
4,1,6.051043083900227
5,1,6.927845804988662
6,1,7.8428571428571425
7,1,8.772630385487528
8,1,9.637551020408162
9,1,10.550113378684808
10,1,11.427074829931973
11,1,12.32235827664399
12,1,13.215351473922903
13,1,14.102267573696144
14,1,15.005124716553288
15,1,15.872154195011339
16,1,16.794580498866214
17,1,17.67018140589569
18,1,18.554761904761904
19,1,19.440068027210884
20,1,20.33437641723356
21,1,21.239183673469388
22,1,22.123968253968254
23,1,23.036666666666665
24,1,23.949160997732427
25,1,24.862766439909297
26,1,25.76530612244898
27,1,26.596167800453514
28,1,27.471814058956916
29,1,28.33907029478458
30,1,29.223537414965985
31,1,30.09795918367347
32,1,30.985850340136054
33,1,31.898639455782313
34,1,32.78312925170068
