bar,beat,onset
0,1,1.6489795918367347
1,1,3.4938775510204083
2,1,5.316326530612245
3,1,7.127052154195011
4,1,8.905850340136054
5,1,10.68498866213152
6,1,12.445147392290249
7,1,14.196099773242631
8,1,16.013038548752835
9,1,17.79986394557823
10,1,19.61698412698413
11,1,21.396099773242632
12,1,23.185691609977326
13,1,25.01015873015873
14,1,26.789024943310658
15,1,28.59562358276644
16,1,30.375034013605443
17,1,32.117006802721086
18,1,33.89625850340136
19,1,35.72120181405896
20,1,37.565396825396824
21,1,39.34453514739229
22,1,41.15097505668934
23,1,42.948299319727894
24,1,44.792244897959186
25,1,46.68195011337868
26,1,48.57181405895692
27,1,50.396371882086164
28,1,52.2578231292517
29,1,54.05673469387755
30,1,55.89984126984127
31,1,57.789319727891154
32,1,59.61521541950113
33,1,61.47718820861678
34,1,63.3469387755102
35,1,65.18192743764172
36,1,66.98861678004535
37,1,68.8149433106576
38,1,70.68530612244898
39,1,72.51954648526078
40,1,74.32668934240363
41,1,76.14290249433107
42,1,78.0228798185941
43,1,79.85730158730159
44,1,81.71108843537415
45,1,83.56326530612245
46,1,85.42544217687075
47,1,87.26922902494331
48,1,89.19643990929706
