bar,beat,onset
1,1,5.185918367346939
2,1,7.032403628117914
3,1,8.821315192743764
4,1,10.59092970521542
5,1,12.442721088435373
6,1,14.20453514739229
7,1,15.983424036281178
8,1,17.77231292517007
9,1,19.494625850340135
10,1,21.266213151927438
11,1,23.044897959183672
12,1,24.685714285714287
13,1,26.39952380952381
14,1,28.178072562358278
15,1,29.957346938775512
16,1,31.681768707482995
17,1,33.52630385487528
18,1,35.332244897959185
19,1,37.22201814058957
20,1,39.02922902494331
21,1,40.872562358276646
22,1,42.71575963718821
23,1,44.50437641723356
24,1,46.24628117913832
25,1,48.063151927437644
26,1,49.849773242630384
27,1,51.694149659863946
28,1,53.5012925170068
29,1,55.298049886621314
30,1,57.096666666666664
31,1,58.87439909297052
32,1,60.61759637188209
