bar,beat,onset
1,1,2.1013378684807256
2,1,3.013560090702948
3,1,3.941519274376417
4,1,4.843219954648526
5,1,5.740272108843538
6,1,6.622857142857143
7,1,7.549705215419501
8,1,8.465873015873015
9,1,9.359410430839002
10,1,10.25891156462585
11,1,11.174625850340137
12,1,12.07482993197279
13,1,12.962471655328798
14,1,13.853605442176871
15,1,14.752403628117914
16,1,15.629206349206349
17,1,16.514172335600907
18,1,17.40206349206349
19,1,18.32873015873016
20,1,19.249546485260772
21,1,20.132698412698414
22,1,21.035668934240363
23,1,21.930612244897958
24,1,22.844489795918367
25,1,23.72612244897959
26,1,24.590408163265305
27,1,25.48013605442177
28,1,26.38907029478458
29,1,27.275238095238095
30,1,28.167868480725623
31,1,29.06358276643991
32,1,29.941791383219954
33,1,30.83410430839002
34,1,31.710181405895693
35,1,32.607074829931975
36,1,33.50263038548753
37,1,34.37183673469388
38,1,35.238571428571426
39,1,36.13469387755102
40,1,37.040068027210886
41,1,37.93179138321995
42,1,38.81827664399093
43,1,39.69077097505669
44,1,40.58734693877551
45,1,41.44641723356009
46,1,42.29893424036281
47,1,43.178979591836736
48,1,44.061632653061224
49,1,44.92954648526077
50,1,45.82918367346939
51,1,46.75546485260771
52,1,47.672290249433104
53,1,48.56532879818594
54,1,49.470884353741496
55,1,50.36392290249433
56,1,51.26795918367347
57,1,52.14297052154195
58,1,53.02401360544218
59,1,53.9287074829932
60,1,54.80621315192744
61,1,55.706213151927436
62,1,56.602448979591834
63,1,57.50371882086168
64,1,58.43907029478458
65,1,59.312335600907026
66,1,60.164580498866215
67,1,61.06360544217687
68,1,61.97843537414966
69,1,62.89927437641723
70,1,63.78934240362812
71,1,64.67004535147392
72,1,65.55126984126984
73,1,66.43197278911565
74,1,67.36244897959183
75,1,68.25149659863946
76,1,69.14902494331066
77,1,70.03879818594105
78,1,70.93551020408164
79,1,71.8265306122449
80,1,72.69498866213152
81,1,73.59471655328798
82,1,74.48931972789116
83,1,75.37573696145125
84,1,76.25385487528345
85,1,77.15546485260771
86,1,78.0743537414966
87,1,78.95371882086168
88,1,79.82269841269841
89,1,80.67693877551021
90,1,81.57882086167801
91,1,82.44526077097505
92,1,83.3415873015873
93,1,84.21140589569161
94,1,85.08852607709751
95,1,85.96374149659864
96,1,86.84639455782313
97,1,87.75224489795919
98,1,88.6470068027211
99,1,89.56036281179138
100,1,90.46578231292517
101,1,91.34968253968253
102,1,92.23700680272108
103,1,93.13392290249433
104,1,94.01709750566893
105,1,94.88893424036281
106,1,95.75950113378684
107,1,96.60265306122449
108,1,97.50396825396825
109,1,98.3740589569161
110,1,99.27891156462584
111,1,100.17804988662131
112,1,101.06253968253968
113,1,101.93394557823129
114,1,102.82575963718821
115,1,103.68929705215419
116,1,104.5636507936508
117,1,105.46684807256236
118,1,106.34385487528344
119,1,107.2615873015873
120,1,108.14056689342404
121,1,109.04580498866213
122,1,109.96197278911565
123,1,110.83015873015873
124,1,111.70596371882087
125,1,112.58585034013605
126,1,113.47308390022675
127,1,114.35961451247165
128,1,115.24471655328799
129,1,116.10156462585034
130,1,116.99784580498866
131,1,117.87052154195011
132,1,118.75528344671201
133,1,119.6487074829932
134,1,120.50412698412698
135,1,121.40791383219954
136,1,122.2801133786848
137,1,123.13532879818594
138,1,124.019410430839
139,1,124.88383219954649
140,1,125.74074829931973
141,1,126.61968253968254
142,1,127.46591836734694
143,1,128.338231292517
144,1,129.19732426303855
145,1,130.06412698412697
