bar,beat,onset
-16,1,2.5156689342403626
-15,1,4.40204081632653
-14,1,6.220408163265306
-13,1,8.005895691609977
-12,1,9.853401360544218
-11,1,11.694580498866213
-10,1,13.541609977324264
-9,1,15.379024943310657
-8,1,17.25501133786848
-7,1,19.032562358276643
-6,1,20.824920634920634
-5,1,22.681541950113377
-4,1,24.512743764172335
-3,1,26.38482993197279
-2,1,28.181496598639455
-1,1,30.03265306122449
0,1,31.815646258503403
1,1,33.608163265306125
2,1,35.420204081632654
3,1,37.32136054421769
4,1,39.113945578231295
5,1,40.92612244897959
6,1,42.71836734693878
7,1,44.559773242630385
8,1,46.426485260770974
9,1,48.220408163265304
10,1,49.98668934240363
11,1,51.84331065759637
12,1,53.689886621315196
13,1,55.55612244897959
14,1,57.378843537414966
15,1,59.17122448979592
16,1,61.0278231292517
17,1,62.839115646258506
18,1,64.67113378684807
19,1,66.50816326530612
20,1,68.35965986394558
21,1,70.19657596371881
22,1,72.00866213151927
23,1,73.83056689342403
24,1,75.65798185941043
25,1,77.44467120181406
26,1,79.2914739229025
27,1,81.10399092970522
28,1,82.94562358276644
29,1,84.85210884353741
30,1,86.69324263038548
31,1,88.50585034013605
32,1,90.33281179138322
33,1,92.12244897959184
34,1,93.92258503401361
35,1,95.73467120181405
36,1,97.5465306122449
37,1,99.36800453514739
38,1,101.18036281179138
39,1,103.01696145124717
40,1,104.819410430839
41,1,106.66092970521542
42,1,108.5180045351474
43,1,110.43426303854875
44,1,112.25648526077097
45,1,114.05845804988662
46,1,115.85492063492063
47,1,117.68253968253968
48,1,119.53986394557823
49,1,121.33569160997732
50,1,123.1482993197279
51,1,124.99530612244898
52,1,126.82664399092971
53,1,128.62897959183672
54,1,130.45578231292518
55,1,132.27839002267575
56,1,134.03548752834467
57,1,135.83814058956915
58,1,137.68920634920636
59,1,139.5361224489796
60,1,141.34843537414966
61,1,143.18519274376416
62,1,144.97179138321997
63,1,146.76437641723356
64,1,148.5417006802721
65,1,150.29961451247166
66,1,152.09163265306123
67,1,153.87866213151926
68,1,155.71650793650792
69,1,157.527641723356
70,1,159.34997732426305
71,1,161.15185941043083
72,1,162.95832199546484
73,1,164.78571428571428
74,1,166.58780045351475
75,1,168.43947845804988
76,1,170.27662131519276
77,1,172.0782993197279
78,1,173.89049886621316
79,1,175.7322902494331
80,1,177.5891836734694
81,1,179.45167800453515
82,1,181.21895691609978
83,1,183.02115646258503
84,1,184.83331065759637
85,1,186.54031746031745
86,1,188.3072335600907
87,1,190.17965986394557
88,1,191.9591836734694
89,1,193.78775510204082
90,1,195.54603174603176
91,1,197.3828798185941
92,1,199.15997732426302
93,1,200.9531292517007
94,1,202.7490022675737
95,1,204.5766439909297
