bar,beat,onset
-1,1,2.071201814058957
0,1,3.4917006802721087
1,1,4.8979591836734695
2,1,6.373877551020408
3,1,7.859954648526077
4,1,9.305396825396825
5,1,10.727619047619047
6,1,12.16734693877551
7,1,13.625056689342404
8,1,15.120340136054422
9,1,16.561632653061224
10,1,18.00936507936508
11,1,19.483696145124718
12,1,20.897959183673468
13,1,22.308707482993196
14,1,23.74392290249433
15,1,25.16861678004535
16,1,26.613582766439908
17,1,28.053061224489795
18,1,29.50095238095238
19,1,30.92816326530612
20,1,32.36360544217687
21,1,33.78809523809524
22,1,35.23292517006803
23,1,36.697755102040816
24,1,38.12231292517007
25,1,39.557369614512474
26,1,41.03741496598639
27,1,42.48149659863945
28,1,43.916712018140586
29,1,45.35213151927438
30,1,46.761473922902496
31,1,48.186893424036285
32,1,49.59721088435374
33,1,51.02857142857143
34,1,52.48367346938775
35,1,53.94117913832199
36,1,55.35596371882086
37,1,56.79120181405896
38,1,58.24510204081633
39,1,59.68047619047619
40,1,61.08111111111111
41,1,62.48591836734694
42,1,63.947755102040816
43,1,65.35102040816327
44,1,66.77557823129251
45,1,68.21092970521542
46,1,69.62984126984126
47,1,71.10009070294785
48,1,72.5102947845805
49,1,73.93482993197279
50,1,75.33528344671201
51,1,76.76077097505669
52,1,78.17022675736962
53,1,79.59566893424036
54,1,81.02108843537415
55,1,82.42244897959183
56,1,83.85585034013606
57,1,85.25628117913833
58,1,86.70612244897958
59,1,88.14548752834467
60,1,89.60036281179138
61,1,91.04285714285714
62,1,92.46530612244898
63,1,93.95102040816326
64,1,95.4
65,1,96.82929705215419
