bar,beat,onset
1,1,3.332448979591837
2,1,4.320861678004535
3,1,5.298390022675737
4,1,6.271179138321996
5,1,7.214421768707483
6,1,8.167619047619048
7,1,9.12061224489796
8,1,10.099614512471655
9,1,11.019433106575963
10,1,11.953832199546484
11,1,12.947528344671202
12,1,13.88829931972789
13,1,14.822517006802721
14,1,15.777959183673469
15,1,16.759002267573695
16,1,17.71185941043084
17,1,18.691315192743765
18,1,19.655691609977325
19,1,20.604807256235826
20,1,21.539410430839002
21,1,22.544897959183672
22,1,23.55344671201814
23,1,24.463990929705215
24,1,25.449954648526077
25,1,26.40700680272109
26,1,27.372585034013607
27,1,28.353356009070296
28,1,29.34174603174603
29,1,30.293333333333333
30,1,31.259863945578232
31,1,32.21759637188209
32,1,33.21702947845805
33,1,34.2027664399093
34,1,35.18839002267574
35,1,36.16249433106576
36,1,37.1168253968254
37,1,38.052630385487525
38,1,38.991179138321996
39,1,39.9718820861678
40,1,40.97160997732426
41,1,41.941814058956915
42,1,42.936190476190475
43,1,43.90253968253968
44,1,44.88122448979592
45,1,45.81045351473923
46,1,46.76310657596372
47,1,47.76392290249433
48,1,48.69603174603174
49,1,49.67775510204082
50,1,50.66396825396826
51,1,51.65859410430839
52,1,52.644013605442176
53,1,53.638390022675736
54,1,54.566145124716556
55,1,55.542857142857144
56,1,56.55789115646259
57,1,57.53231292517007
58,1,58.503356009070295
59,1,59.48521541950113
60,1,60.430680272108845
61,1,61.41326530612245
62,1,62.35512471655329
63,1,63.33063492063492
64,1,64.29981859410431
65,1,65.26997732426304
