bar,beat,onset
1,1,3.511451247165533
2,1,4.748684807256236
3,1,5.989637188208617
4,1,7.206190476190476
5,1,8.452063492063493
6,1,9.69344671201814
7,1,10.950045351473923
8,1,12.196757369614513
9,1,13.477414965986394
10,1,14.709160997732427
11,1,15.89079365079365
12,1,17.19145124716553
13,1,18.403356009070293
14,1,19.669591836734693
15,1,20.905850340136055
16,1,22.11793650793651
17,1,23.36403628117914
18,1,24.61453514739229
19,1,25.832086167800455
20,1,27.088185941043083
21,1,28.31902494331066
22,1,29.565714285714286
23,1,30.792244897959183
24,1,32.0140589569161
25,1,33.23487528344671
26,1,34.48165532879818
27,1,35.72748299319728
28,1,36.95904761904762
29,1,38.18621315192744
30,1,39.39757369614512
31,1,40.64419501133787
32,1,41.89004535147392
33,1,43.119455782312926
34,1,44.37913832199546
35,1,45.644625850340134
36,1,46.93458049886621
37,1,48.18167800453515
38,1,49.41780045351474
39,1,50.658639455782314
40,1,51.91553287981859
41,1,53.116961451247164
42,1,54.33789115646258
43,1,55.600521541950116
44,1,56.866077097505666
45,1,58.09052154195011
46,1,59.28945578231293
47,1,60.58002267573696
48,1,61.801179138322
49,1,63.013242630385484
50,1,64.22975056689343
51,1,65.46154195011339
52,1,66.68267573696146
53,1,67.92868480725623
54,1,69.1562358276644
55,1,70.39682539682539
56,1,71.63310657596372
57,1,72.85480725623583
58,1,74.1102947845805
59,1,75.33804988662132
60,1,76.56873015873016
61,1,77.79546485260771
62,1,79.03696145124717
63,1,80.29848072562358
64,1,81.49448979591837
65,1,82.7315873015873
66,1,83.96807256235827
67,1,85.19866213151927
68,1,86.4259410430839
69,1,87.64725623582767
70,1,88.90297052154195
71,1,90.159410430839
72,1,91.3966439909297
73,1,92.62746031746032
