bar,beat,onset
-2,1,0.8039909297052155
-1,1,1.9134013605442177
0,1,2.933197278911565
1,1,3.976417233560091
2,1,4.988616780045351
3,1,6.043038548752834
4,1,7.080204081632653
5,1,8.128208616780045
6,1,9.170045351473924
7,1,10.224104308390023
8,1,11.23408163265306
9,1,12.30077097505669
10,1,13.332199546485262
11,1,14.370249433106576
12,1,15.371609977324264
13,1,16.400657596371882
14,1,17.453832199546486
15,1,18.477278911564625
16,1,19.47902494331066
17,1,20.47419501133787
18,1,21.552698412698412
19,1,22.617732426303856
20,1,23.65716553287982
21,1,24.687414965986395
22,1,25.701632653061225
23,1,26.752902494331067
24,1,27.80061224489796
25,1,28.823356009070295
26,1,29.84419501133787
27,1,30.89829931972789
28,1,31.905895691609977
29,1,32.99612244897959
30,1,34.03142857142857
31,1,35.06705215419501
32,1,36.11943310657596
33,1,37.16424036281179
34,1,38.209750566893426
35,1,39.24628117913832
36,1,40.299886621315196
37,1,41.316099773242634
38,1,42.332471655328796
39,1,43.34315192743764
40,1,44.3675283446712
41,1,45.445260770975054
42,1,46.44800453514739
43,1,47.46950113378685
44,1,48.455056689342406
45,1,49.4956462585034
46,1,50.54403628117914
47,1,51.58281179138322
48,1,52.61045351473923
49,1,53.63684807256236
50,1,54.65396825396825
51,1,55.68145124716553
52,1,56.7168253968254
53,1,57.75816326530612
54,1,58.811632653061224
55,1,59.81360544217687
56,1,60.820907029478455
57,1,61.878458049886625
58,1,62.90206349206349
59,1,63.92689342403628
60,1,64.96884353741497
61,1,65.9807029478458
62,1,67.0059410430839
63,1,68.04185941043085
64,1,69.11108843537414
65,1,70.12081632653062
66,1,71.1372335600907
67,1,72.13063492063492
68,1,73.1631746031746
69,1,74.22507936507937
70,1,75.28628117913833
71,1,76.35197278911565
72,1,77.3542403628118
73,1,78.39891156462585
74,1,79.42476190476191
75,1,80.4888888888889
76,1,81.5107029478458
77,1,82.53095238095239
78,1,83.57122448979592
79,1,84.61061224489796
80,1,85.63519274376418
81,1,86.67387755102041
82,1,87.68714285714286
83,1,88.67990929705215
84,1,89.7102947845805
85,1,90.7502947845805
86,1,91.80015873015873
87,1,92.82467120181406
88,1,93.84038548752835
89,1,94.82807256235827
90,1,95.84553287981859
91,1,96.86081632653061
92,1,97.89925170068027
93,1,98.90569160997732
94,1,99.9718820861678
95,1,101.03183673469388
96,1,102.05478458049886
97,1,103.07918367346939
98,1,104.11163265306122
99,1,105.1691156462585
100,1,106.20868480725623
101,1,107.2359410430839
102,1,108.2742403628118
103,1,109.30469387755102
104,1,110.34927437641723
105,1,111.36160997732426
106,1,112.3778231292517
107,1,113.3685260770975
108,1,114.40181405895692
109,1,115.44380952380952
110,1,116.48
111,1,117.51038548752834
112,1,118.57850340136055
113,1,119.61290249433107
114,1,120.62882086167801
115,1,121.64643990929706
116,1,122.69299319727891
117,1,123.71591836734694
118,1,124.7518820861678
119,1,125.8342403628118
120,1,126.85600907029479
121,1,127.8864172335601
122,1,128.9107029478458
123,1,129.9604081632653
124,1,130.98061224489797
125,1,132.02428571428572
126,1,133.05904761904762
127,1,134.1025850340136
128,1,135.12852607709752
129,1,136.1298866213152
130,1,137.1283446712018
131,1,138.18485260770976
132,1,139.2152380952381
133,1,140.25630385487528
134,1,141.29433106575965
135,1,142.3499319727891
136,1,143.33678004535147
137,1,144.3889342403628
138,1,145.41421768707482
139,1,146.39591836734695
140,1,147.40027210884352
141,1,148.43566893424037
142,1,149.4117006802721
143,1,150.4238775510204
144,1,151.44031746031746
145,1,152.44480725623583
146,1,153.45807256235827
147,1,154.45077097505668
148,1,155.90401360544217
149,1,156.5867120181406
150,1,157.5912244897959
151,1,158.5767573696145
152,1,159.60526077097506
153,1,160.6465986394558
154,1,161.64816326530612
155,1,162.6253514739229
156,1,163.61879818594105
157,1,164.65108843537416
158,1,165.66256235827663
159,1,166.68548752834468
160,1,167.7385260770975
161,1,168.77848072562358
