bar,beat,onset
1,1,1.3990022675736962
2,1,2.8937868480725624
3,1,4.367868480725623
4,1,5.877301587301587
5,1,7.356984126984127
6,1,8.865578231292517
7,1,10.405442176870748
8,1,11.91424036281179
9,1,13.414081632653062
10,1,14.983333333333333
11,1,16.507573696145126
12,1,17.98643990929705
13,1,19.495759637188208
14,1,21.030136054421767
15,1,22.534149659863946
16,1,24.06122448979592
17,1,25.548027210884353
18,1,27.1018820861678
19,1,28.636326530612244
20,1,30.13061224489796
21,1,31.630113378684808
22,1,33.18439909297052
23,1,34.67365079365079
24,1,36.23673469387755
25,1,37.77671201814059
26,1,39.291111111111114
27,1,40.870657596371885
28,1,42.41455782312925
29,1,43.9134693877551
30,1,45.48249433106576
31,1,47.0359410430839
32,1,48.525124716553286
33,1,50.05018140589569
34,1,51.608163265306125
35,1,53.16299319727891
36,1,54.70641723356009
37,1,56.26646258503401
38,1,57.790340136054425
39,1,59.34448979591837
40,1,60.858934240362814
41,1,62.36734693877551
42,1,63.93639455782313
43,1,65.44097505668934
44,1,67.02049886621315
45,1,68.56326530612245
46,1,70.13294784580499
47,1,71.70630385487529
48,1,73.22086167800454
49,1,74.78993197278912
50,1,76.3437641723356
51,1,77.86804988662132
52,1,79.41714285714286
53,1,80.9712925170068
54,1,82.5469387755102
55,1,84.1192970521542
56,1,85.67294784580498
57,1,87.20709750566894
58,1,88.76632653061225
59,1,90.32956916099774
60,1,91.87934240362812
61,1,93.42294784580498
62,1,94.99197278911565
63,1,96.51612244897959
64,1,98.10512471655329
65,1,99.63673469387756
