bar,beat,onset
-1,1,0.9020408163265307
0,1,1.9918367346938775
1,1,3.08984126984127
2,1,4.131814058956916
3,1,5.189773242630386
4,1,6.257777777777778
5,1,7.318367346938776
6,1,8.40562358276644
7,1,9.485351473922902
8,1,10.570884353741496
9,1,11.675555555555556
10,1,12.728095238095237
11,1,13.818367346938775
12,1,14.898208616780046
13,1,16.00077097505669
14,1,17.066666666666666
15,1,18.128979591836735
16,1,19.191292517006804
17,1,20.27138321995465
18,1,21.346938775510203
19,1,22.386666666666667
20,1,23.439274376417234
21,1,24.497528344671203
22,1,25.571428571428573
23,1,26.642131519274376
24,1,27.70204081632653
25,1,28.767142857142858
26,1,29.84081632653061
27,1,30.89387755102041
28,1,31.950702947845805
29,1,33.02832199546485
30,1,34.09569160997732
31,1,35.16362811791383
32,1,36.26938775510204
33,1,37.343378684807256
34,1,38.395714285714284
35,1,39.47850340136054
36,1,40.54131519274377
37,1,41.56895691609977
38,1,42.66086167800454
39,1,43.72421768707483
40,1,44.75736961451247
41,1,45.814897959183675
42,1,46.872743764172334
43,1,47.92485260770975
44,1,48.96507936507936
45,1,50.05641723356009
46,1,51.117936507936506
47,1,52.15609977324263
48,1,53.19877551020408
49,1,54.24696145124717
50,1,55.280907029478456
51,1,56.302721088435376
52,1,57.38034013605442
53,1,58.42834467120181
54,1,59.46081632653061
55,1,60.51308390022676
56,1,61.5814739229025
57,1,62.59412698412699
58,1,63.66140589569161
59,1,64.70954648526077
60,1,65.7591836734694
61,1,66.80380952380952
62,1,67.85294784580499
63,1,68.95165532879818
64,1,70.01977324263038
65,1,71.08081632653061
