bar,beat,onset
1,1,4.132403628117914
2,1,7.439546485260771
3,1,10.783378684807257
4,1,14.126530612244897
5,1,17.51140589569161
6,1,20.80092970521542
7,1,24.145283446712018
8,1,27.53639455782313
9,1,30.776462585034015
10,1,34.11632653061225
11,1,37.389931972789114
12,1,40.721224489795915
13,1,44.02351473922902
14,1,47.323083900226756
15,1,50.61725623582767
16,1,53.92612244897959
17,1,57.21977324263039
18,1,60.662131519274375
19,1,64.12190476190476
20,1,67.45396825396826
21,1,70.81344671201813
22,1,74.09487528344671
23,1,77.56625850340136
24,1,80.85707482993197
25,1,84.21097505668934
26,1,87.57392290249433
27,1,90.83419501133787
28,1,94.23469387755102
29,1,97.55009070294784
30,1,100.8732879818594
31,1,104.28662131519275
32,1,107.66303854875284
33,1,111.05238095238096
