bar,beat,onset
0,1,5.032925170068027
1,1,7.0856009070294785
2,1,9.159183673469387
3,1,11.23031746031746
4,1,13.246349206349207
5,1,15.26687074829932
6,1,17.30467120181406
7,1,19.342222222222222
8,1,21.339138321995463
9,1,23.32938775510204
10,1,25.339115646258502
11,1,27.374965986394557
12,1,29.42045351473923
13,1,31.474648526077097
14,1,33.575646258503404
15,1,35.63548752834467
16,1,37.636213151927436
17,1,39.61757369614512
18,1,41.646961451247165
19,1,43.66301587301587
20,1,45.727981859410434
21,1,47.77367346938775
22,1,49.766167800453516
23,1,51.75918367346939
24,1,53.777414965986395
25,1,55.739501133786845
