bar,beat,onset
1,1,2.326575963718821
2,1,3.452630385487528
3,1,4.523764172335601
4,1,5.6453514739229025
5,1,6.694285714285714
6,1,7.789206349206349
7,1,8.897006802721089
8,1,9.956734693877552
9,1,11.020181405895691
10,1,12.052607709750568
11,1,13.170748299319728
12,1,14.257913832199547
13,1,15.336598639455783
14,1,16.398027210884354
15,1,17.486303854875285
16,1,18.580566893424038
17,1,19.665442176870748
18,1,20.742857142857144
19,1,21.760861678004535
20,1,22.87530612244898
21,1,23.93548752834467
22,1,25.01328798185941
23,1,26.13061224489796
24,1,27.26893424036281
25,1,28.347573696145126
26,1,29.416643990929707
27,1,30.52004535147392
28,1,31.635238095238094
29,1,32.6997052154195
30,1,33.7808843537415
31,1,34.87335600907029
32,1,35.97136054421769
33,1,37.06319727891157
