bar,beat,onset
1,1,6.2693877551020405
2,1,7.2556235827664395
3,1,8.266303854875284
4,1,9.236213151927437
5,1,10.244149659863945
6,1,11.213764172335601
7,1,12.183877551020409
8,1,13.160816326530613
9,1,14.161632653061224
10,1,15.148480725623584
11,1,16.123378684807257
12,1,17.110204081632652
13,1,18.119024943310656
14,1,19.08909297052154
15,1,20.048979591836734
16,1,21.010544217687073
17,1,21.962380952380954
18,1,22.9321768707483
19,1,23.917913832199545
20,1,24.891791383219953
21,1,25.87283446712018
22,1,26.865487528344673
23,1,27.808798185941043
24,1,28.763718820861676
25,1,29.722834467120183
26,1,30.70891156462585
27,1,31.70324263038549
28,1,32.658866213151924
29,1,33.61426303854875
30,1,34.60204081632653
31,1,35.59988662131519
32,1,36.54675736961451
33,1,37.5181179138322
34,1,38.50224489795919
35,1,39.4768253968254
36,1,40.48770975056689
37,1,41.43605442176871
38,1,42.41705215419501
39,1,43.39809523809524
40,1,44.36172335600907
41,1,45.31954648526077
42,1,46.32857142857143
43,1,47.29909297052154
44,1,48.24278911564626
45,1,49.22843537414966
46,1,50.20705215419501
47,1,51.17678004535147
48,1,52.17142857142857
49,1,53.115918367346936
50,1,54.08004535147392
51,1,55.0497052154195
52,1,56.018140589569164
53,1,56.98757369614513
54,1,57.989773242630385
55,1,58.95918367346939
56,1,59.886213151927436
57,1,60.832743764172335
58,1,61.80235827664399
59,1,62.796507936507936
60,1,63.75079365079365
61,1,64.70408163265306
62,1,65.63700680272109
63,1,66.58544217687074
64,1,67.53709750566894
65,1,68.49700680272109
