bar,beat,onset
1,1,2.404081632653061
2,1,3.9548299319727893
3,1,5.440816326530612
4,1,6.97843537414966
5,1,8.49766439909297
6,1,10.00780045351474
7,1,11.565963718820862
8,1,13.05077097505669
9,1,14.579183673469387
10,1,16.09408163265306
11,1,17.612244897959183
12,1,19.142290249433106
13,1,20.66185941043084
14,1,22.17562358276644
15,1,23.684444444444445
16,1,25.209455782312926
17,1,26.73371882086168
18,1,28.25748299319728
19,1,29.801133786848073
20,1,31.316598639455783
21,1,32.87036281179138
22,1,34.39437641723356
23,1,35.93773242630385
24,1,37.430566893424036
25,1,38.99609977324263
26,1,40.50154195011338
27,1,42.05546485260771
28,1,43.56954648526077
29,1,45.11374149659864
30,1,46.61986394557823
31,1,48.10231292517007
32,1,49.63612244897959
33,1,51.17013605442177
