bar,beat,onset
-1,1,1.7819954648526077
0,1,3.1811337868480725
1,1,4.632380952380952
2,1,6.056893424036281
3,1,7.4373015873015875
4,1,8.782290249433107
5,1,10.192312925170068
6,1,11.563537414965987
7,1,12.91609977324263
8,1,14.293378684807257
9,1,15.629115646258503
10,1,16.991201814058957
11,1,18.34548752834467
12,1,19.67310657596372
13,1,21.021179138321994
14,1,22.392380952380954
15,1,23.72215419501134
16,1,25.048231292517006
17,1,26.36893424036281
18,1,27.704489795918366
19,1,29.040249433106577
20,1,30.370340136054423
21,1,31.676621315192744
22,1,33.03038548752834
23,1,34.37750566893424
24,1,35.71229024943311
25,1,37.07902494331066
26,1,38.40909297052154
27,1,39.745124716553285
28,1,41.07111111111111
29,1,42.39170068027211
30,1,43.717233560090705
31,1,45.07328798185941
32,1,46.37605442176871
33,1,47.70904761904762
