bar,beat,onset
-3,1,0.6077777777777778
-2,1,2.056825396825397
-1,1,3.4432879818594104
0,1,4.910680272108843
1,1,6.3631972789115645
2,1,7.897868480725624
3,1,9.319909297052154
4,1,10.733424036281178
5,1,12.166394557823129
6,1,13.577460317460318
7,1,15.045714285714286
8,1,16.452721088435375
9,1,17.88501133786848
10,1,19.30204081632653
11,1,20.753378684807256
12,1,22.151020408163266
13,1,23.598390022675737
14,1,24.97954648526077
15,1,26.37369614512472
16,1,27.799365079365078
17,1,29.20698412698413
18,1,30.675646258503402
19,1,32.14934240362812
20,1,33.5707029478458
21,1,34.981972789115645
22,1,36.45061224489796
23,1,37.88306122448979
24,1,39.29578231292517
25,1,40.7175283446712
26,1,42.146462585034016
27,1,43.56240362811791
28,1,44.9646485260771
29,1,46.38689342403628
30,1,47.817233560090706
31,1,49.25303854875283
32,1,50.6978231292517
33,1,52.11968253968254
34,1,53.55106575963719
35,1,54.93807256235828
36,1,56.35634920634921
37,1,57.740204081632655
38,1,59.14061224489796
39,1,60.560204081632655
40,1,61.95385487528345
41,1,63.326190476190476
