bar,beat,onset
0,1,1.893469387755102
1,1,3.4875963718820864
2,1,5.120544217687075
3,1,6.710566893424036
4,1,8.341904761904761
5,1,9.965328798185942
6,1,11.578866213151928
7,1,13.221746031746031
8,1,14.825510204081633
9,1,16.457142857142856
10,1,18.116916099773242
11,1,19.724920634920636
12,1,21.363628117913834
13,1,22.981496598639456
14,1,24.63
15,1,26.307687074829932
16,1,27.92126984126984
17,1,29.57392290249433
18,1,31.21278911564626
19,1,32.83605442176871
20,1,34.43809523809524
21,1,36.092562358276645
22,1,37.690612244897956
23,1,39.294444444444444
24,1,40.91773242630386
25,1,42.57043083900227
26,1,44.17433106575964
27,1,45.7921768707483
28,1,47.38625850340136
29,1,48.9843537414966
30,1,50.59800453514739
31,1,52.20185941043084
32,1,53.80972789115646
33,1,55.442902494331065
34,1,57.056553287981856
35,1,58.64514739229025
36,1,60.268526077097505
37,1,61.901383219954646
38,1,63.495555555555555
39,1,65.13843537414967
40,1,66.75192743764173
41,1,68.39492063492064
42,1,70.00857142857143
43,1,71.62208616780045
44,1,73.24514739229025
45,1,74.88863945578231
46,1,76.49260770975057
47,1,78.11836734693877
48,1,79.73877551020408
49,1,81.37238095238095
50,1,82.93591836734694
51,1,84.52963718820861
52,1,86.12791383219955
53,1,87.71650793650794
54,1,89.33015873015873
55,1,90.96997732426304
56,1,92.55510204081632
57,1,94.16501133786848
58,1,95.798231292517
59,1,97.37707482993197
60,1,98.97113378684807
61,1,100.5692970521542
62,1,102.17319727891156
63,1,103.79648526077098
64,1,105.35009070294785
65,1,106.96383219954649
66,1,108.507641723356
67,1,110.06641723356009
68,1,111.68437641723357
69,1,113.2881179138322
70,1,114.88632653061225
71,1,116.49993197278911
72,1,118.14836734693877
73,1,119.7204081632653
74,1,121.31555555555556
75,1,122.88458049886621
76,1,124.45714285714286
77,1,126.08662131519274
78,1,127.70453514739229
79,1,129.30843537414967
80,1,130.92210884353742
81,1,132.51004535147393
82,1,134.05408163265307
83,1,135.6393650793651
84,1,137.2757596371882
85,1,138.85460317460317
86,1,140.44854875283445
87,1,142.0263492063492
88,1,143.64968253968254
89,1,145.23469387755102
90,1,146.8364172335601
91,1,148.45979591836735
92,1,150.07344671201815
93,1,151.6718820861678
94,1,153.2561224489796
95,1,154.86426303854876
96,1,156.44272108843538
97,1,158.05609977324264
98,1,159.69489795918366
99,1,161.26877551020408
100,1,162.89215419501133
101,1,164.47965986394559
102,1,166.0734693877551
103,1,167.68260770975056
104,1,169.29591836734693
105,1,170.8843537414966
106,1,172.45358276643992
107,1,174.05725623582765
108,1,175.6643537414966
109,1,177.25290249433107
110,1,178.84151927437642
111,1,180.46496598639456
112,1,182.0936961451247
113,1,183.70192743764173
114,1,185.30569160997732
115,1,186.9039455782313
116,1,188.50226757369614
117,1,190.09632653061223
118,1,191.71555555555557
119,1,193.2439909297052
120,1,194.86725623582765
121,1,196.45591836734692
122,1,198.02473922902493
123,1,199.58816326530612
