bar,beat,onset
1,1,12.72453514739229
2,1,15.836009070294784
3,1,18.837709750566894
4,1,21.860884353741497
5,1,24.839546485260772
6,1,27.791473922902494
7,1,30.779886621315192
8,1,33.77342403628118
9,1,36.786213151927434
10,1,39.7168253968254
11,1,42.68589569160998
12,1,45.63208616780045
13,1,48.51229024943311
14,1,51.320589569161
15,1,54.248979591836736
16,1,57.074126984126984
17,1,60.044489795918366
18,1,62.96709750566893
19,1,65.98294784580499
20,1,68.84897959183674
21,1,71.76861678004535
22,1,74.66746031746031
23,1,77.55952380952381
24,1,80.46875283446713
25,1,83.3515873015873
26,1,86.26521541950113
27,1,89.17043083900226
28,1,92.03809523809524
29,1,94.98530612244897
30,1,97.88607709750566
31,1,100.74929705215419
32,1,103.6734693877551
