bar,beat,onset
1,1,3.9975056689342403
2,1,5.04530612244898
3,1,6.068185941043084
4,1,7.08140589569161
5,1,8.104467120181406
6,1,9.127528344671202
7,1,10.150702947845804
8,1,11.163469387755102
9,1,12.161496598639456
10,1,13.154195011337869
11,1,14.167619047619048
12,1,15.165668934240363
13,1,16.143990929705215
14,1,17.137732426303856
15,1,18.160453514739228
16,1,19.148911564625852
17,1,20.12748299319728
18,1,21.086031746031747
19,1,22.048707482993198
20,1,23.044897959183672
21,1,24.074467120181406
22,1,25.03326530612245
23,1,26.03124716553288
24,1,27.00981859410431
25,1,27.96857142857143
26,1,28.956689342403628
27,1,29.97997732426304
28,1,30.947596371882085
29,1,31.916190476190476
30,1,32.904263038548756
31,1,33.89249433106576
32,1,34.870884353741495
33,1,35.874263038548754
34,1,36.887142857142855
35,1,37.900725623582765
36,1,38.94272108843538
37,1,39.94632653061225
38,1,40.93421768707483
39,1,41.902857142857144
40,1,42.935532879818595
41,1,43.93922902494331
42,1,44.97163265306123
43,1,45.98487528344671
44,1,46.94718820861678
45,1,47.93108843537415
46,1,48.909569160997734
47,1,49.9075283446712
48,1,50.90113378684807
49,1,51.90891156462585
50,1,52.90263038548753
51,1,53.87102040816327
52,1,54.85879818594104
53,1,55.89165532879819
54,1,56.86034013605442
55,1,57.84854875283447
56,1,58.84195011337869
57,1,59.78482993197279
58,1,60.773378684807255
59,1,61.77687074829932
60,1,62.74467120181406
61,1,63.742539682539686
62,1,64.68625850340136
63,1,65.72437641723356
64,1,66.72219954648526
65,1,67.67113378684807
66,1,68.68863945578231
