bar,beat,onset
0,1,1.509297052154195
1,1,3.0650340136054424
2,1,4.697006802721089
3,1,6.240362811791384
4,1,7.7917006802721085
5,1,9.30077097505669
6,1,10.842585034013606
7,1,12.387324263038549
8,1,13.912403628117914
9,1,15.43532879818594
10,1,16.99421768707483
11,1,18.52655328798186
12,1,20.058072562358277
13,1,21.582562358276643
14,1,23.133469387755103
15,1,24.66938775510204
16,1,26.18294784580499
17,1,27.755102040816325
18,1,29.274943310657598
19,1,30.805034013605443
20,1,32.30975056689343
21,1,33.86961451247166
22,1,35.39920634920635
23,1,36.970294784580496
24,1,38.5152380952381
25,1,40.06678004535147
26,1,41.613015873015875
27,1,43.107233560090705
28,1,44.66068027210884
29,1,46.198253968253965
30,1,47.74063492063492
31,1,49.30668934240363
32,1,50.85421768707483
33,1,52.389319727891156
34,1,53.93954648526077
35,1,55.518185941043086
36,1,57.04562358276644
37,1,58.56825396825397
38,1,60.11310657596372
39,1,61.69886621315193
40,1,63.21267573696145
41,1,64.76181405895692
42,1,66.3397052154195
43,1,67.93156462585034
44,1,69.44183673469388
45,1,70.94081632653061
46,1,72.50721088435374
47,1,74.06918367346938
48,1,75.56907029478458
49,1,77.14891156462585
50,1,78.73269841269841
51,1,80.28009070294785
52,1,81.85451247165533
53,1,83.42825396825397
54,1,85.04469387755103
55,1,86.598820861678
56,1,88.19238095238096
57,1,89.75353741496599
58,1,91.29031746031745
59,1,92.88072562358276
60,1,94.39820861678004
61,1,95.91598639455782
62,1,97.5568253968254
63,1,99.13816326530612
64,1,100.70709750566894
65,1,102.31891156462585
66,1,103.8529931972789
