bar,beat,onset
1,1,4.243446712018141
2,1,5.948934240362812
3,1,7.680884353741496
4,1,9.474761904761905
5,1,11.196553287981859
6,1,12.893968253968254
7,1,14.622766439909297
8,1,16.349750566893423
9,1,18.02326530612245
10,1,19.730453514739228
11,1,21.43310657596372
12,1,23.08249433106576
13,1,24.814603174603175
14,1,26.512108843537415
15,1,28.23467120181406
16,1,29.982312925170067
17,1,31.71530612244898
18,1,33.42820861678005
19,1,35.15054421768708
20,1,36.8891156462585
21,1,38.61126984126984
22,1,40.25442176870748
23,1,41.948253968253965
24,1,43.578049886621315
25,1,45.278616780045354
26,1,47.03582766439909
27,1,48.78430839002267
28,1,50.496916099773244
29,1,52.26471655328798
30,1,53.99696145124717
31,1,55.7191156462585
32,1,57.51226757369614
33,1,59.25975056689342
34,1,60.982290249433106
35,1,62.72439909297052
36,1,64.39328798185942
37,1,66.14077097505668
38,1,67.83816326530612
39,1,69.55099773242631
40,1,71.22895691609978
41,1,72.99680272108843
42,1,74.74433106575964
43,1,76.54458049886621
44,1,78.30414965986395
45,1,80.04614512471656
46,1,81.77843537414967
47,1,83.57138321995465
48,1,85.25886621315193
49,1,87.00643990929706
50,1,88.77467120181406
51,1,90.47725623582767
52,1,92.16485260770975
53,1,93.89718820861678
54,1,95.55546485260771
55,1,97.28825396825397
56,1,99.01600907029479
57,1,100.71451247165533
58,1,102.46190476190476
59,1,104.23875283446712
60,1,106.01675736961451
61,1,107.78378684807257
62,1,109.45886621315192
63,1,111.18052154195011
64,1,112.91253968253969
65,1,114.7090022675737
66,1,116.45655328798186
