bar,beat,onset
1,1,0.09795918367346938
2,1,1.5832199546485262
3,1,3.420748299319728
4,1,5.286802721088435
5,1,7.057142857142857
6,1,8.974625850340136
7,1,10.757052154195012
8,1,12.641043083900227
9,1,14.398321995464853
10,1,16.239478458049888
11,1,18.09675736961451
12,1,19.914285714285715
13,1,21.755102040816325
14,1,23.625192743764174
15,1,25.51718820861678
16,1,27.338707482993197
17,1,29.151020408163266
18,1,31.004444444444445
19,1,32.8562358276644
20,1,34.67668934240363
21,1,36.507891156462584
22,1,38.3433560090703
23,1,40.129886621315194
24,1,41.97587301587301
25,1,43.82766439909297
26,1,45.645442176870745
27,1,47.54639455782313
28,1,49.34385487528345
29,1,51.17678004535147
30,1,53.00408163265306
31,1,54.79512471655329
32,1,56.59707482993197
33,1,58.43927437641723
34,1,60.261587301587305
35,1,62.03201814058957
36,1,63.82448979591837
37,1,65.62707482993197
38,1,67.43893424036281
39,1,69.20596371882087
40,1,70.93888888888888
41,1,72.75392290249434
42,1,74.5081179138322
43,1,76.26122448979592
44,1,78.06299319727891
45,1,79.81859410430839
46,1,81.59492063492064
47,1,83.38061224489796
48,1,85.18775510204081
49,1,87.00408163265305
50,1,88.86145124716553
51,1,90.80743764172335
52,1,92.66444444444444
53,1,94.49566893424036
54,1,96.33256235827665
55,1,98.16734693877551
56,1,100.05609977324264
57,1,101.90353741496598
58,1,103.75988662131519
59,1,105.60712018140589
60,1,107.4634693877551
61,1,109.31975056689342
62,1,111.1770068027211
