bar,beat,onset
0,1,92.88975056689343
1,1,94.91836734693878
2,1,97.01773242630385
3,1,99.03061224489795
4,1,101.0443537414966
5,1,102.98501133786849
6,1,105.0173469387755
7,1,107.00414965986394
8,1,109.03351473922902
9,1,110.97002267573696
10,1,113.0914739229025
11,1,115.12315192743765
12,1,117.1308843537415
13,1,119.02927437641723
14,1,121.01108843537415
15,1,122.96140589569161
16,1,124.95063492063493
17,1,126.83673469387755
18,1,128.80181405895692
19,1,130.77335600907028
20,1,132.84231292517006
21,1,134.76866213151928
22,1,136.81675736961452
23,1,138.8930612244898
24,1,140.85426303854877
25,1,142.76902494331065
26,1,144.728231292517
27,1,146.78743764172336
28,1,148.82816326530613
29,1,150.88102040816327
30,1,152.87426303854875
31,1,154.88401360544216
32,1,156.83884353741496
33,1,158.82820861678005
34,1,160.86090702947845
