bar,beat,onset
1,1,2.9731746031746034
2,1,4.567414965986394
3,1,6.156031746031746
4,1,7.764172335600907
5,1,9.35814058956916
6,1,10.962131519274376
7,1,12.54108843537415
8,1,14.164761904761905
9,1,15.71843537414966
10,1,17.351746031746032
11,1,18.95328798185941
12,1,20.509024943310656
13,1,22.1024716553288
14,1,23.700770975056688
15,1,25.240680272108843
16,1,26.81394557823129
17,1,28.43283446712018
18,1,30.076371882086168
19,1,31.694308390022677
20,1,33.26548752834467
21,1,34.87696145124717
22,1,36.446167800453516
23,1,38.05990929705215
24,1,39.63065759637188
25,1,41.182743764172336
26,1,42.77036281179139
27,1,44.41687074829932
28,1,46.07294784580499
29,1,47.660544217687075
30,1,49.22984126984127
31,1,50.77371882086168
32,1,52.33310657596372
33,1,53.88687074829932
34,1,55.52569160997732
35,1,57.07945578231293
36,1,58.64850340136054
37,1,60.182766439909294
38,1,61.796462585034014
39,1,63.45907029478458
40,1,65.01854875283446
41,1,66.56269841269841
42,1,68.16655328798186
43,1,69.74455782312926
44,1,71.37775510204082
45,1,72.92160997732427
46,1,74.51643990929705
47,1,76.09539682539682
48,1,77.65904761904761
49,1,79.1831746031746
50,1,80.74260770975057
51,1,82.31498866213153
52,1,83.85507936507936
53,1,85.45310657596372
54,1,87.05709750566893
55,1,88.54687074829933
56,1,90.14521541950113
57,1,91.71439909297052
58,1,93.3122902494331
59,1,94.85700680272109
60,1,96.45988662131519
61,1,98.08324263038548
62,1,99.68183673469387
63,1,101.27063492063492
64,1,102.84117913832199
65,1,104.3892290249433
66,1,105.96256235827664
67,1,107.53104308390023
68,1,109.11006802721089
69,1,110.61501133786848
70,1,112.17843537414966
71,1,113.69297052154195
72,1,115.28158730158731
73,1,116.87036281179138
74,1,118.41963718820861
75,1,119.93861678004535
76,1,121.49784580498866
77,1,123.10197278911565
78,1,124.5907029478458
79,1,126.18916099773243
80,1,127.75814058956917
81,1,129.35920634920635
82,1,130.9475283446712
83,1,132.50698412698412
84,1,134.08573696145126
85,1,135.6646485260771
86,1,137.22809523809525
87,1,138.73285714285714
88,1,140.38204081632654
89,1,142.03444444444443
90,1,143.6578911564626
91,1,145.29886621315194
92,1,146.94399092970522
93,1,148.48369614512472
94,1,150.03757369614513
95,1,151.6609977324263
96,1,153.23006802721088
97,1,154.7472335600907
98,1,156.33358276643992
