bar,beat,onset
1,1,7.736916099773243
2,1,11.949818594104308
3,1,16.199002267573697
4,1,20.29784580498866
5,1,25.335827664399094
6,1,29.53578231292517
7,1,33.80068027210884
8,1,37.89666666666667
9,1,42.11519274376417
10,1,46.276916099773246
11,1,50.39689342403628
12,1,54.52106575963719
13,1,58.68281179138322
14,1,62.8924716553288
15,1,67.15263038548753
16,1,71.45015873015873
17,1,75.67562358276643
18,1,79.78936507936508
19,1,83.87648526077098
20,1,88.11419501133787
21,1,92.1752380952381
22,1,96.16632653061224
23,1,100.29761904761905
24,1,104.50430839002267
25,1,108.58845804988663
26,1,112.88961451247165
27,1,117.17369614512472
28,1,121.31621315192744
29,1,125.2398866213152
30,1,129.2891156462585
31,1,133.42283446712017
32,1,137.498231292517
33,1,141.4928798185941
34,1,145.3606349206349
35,1,149.3243537414966
36,1,153.27213151927438
37,1,157.34224489795918
38,1,161.39655328798185
39,1,165.42122448979592
40,1,169.3814739229025
41,1,173.05251700680273
42,1,177.00836734693877
43,1,181.11977324263037
44,1,185.04650793650794
45,1,188.84308390022676
46,1,192.84573696145125
47,1,196.7382993197279
48,1,200.63879818594106
49,1,204.63988662131518
50,1,208.5501133786848
51,1,212.50038548752835
52,1,216.348231292517
53,1,220.08256235827665
54,1,224.14419501133787
55,1,228.04614512471656
56,1,231.75836734693877
57,1,235.5900680272109
58,1,239.45907029478457
59,1,243.1564172335601
60,1,247.0165986394558
61,1,250.9575283446712
62,1,254.7826530612245
63,1,258.75344671201816
64,1,262.6666666666667
65,1,266.3566666666667
66,1,270.314693877551
67,1,274.1009750566893
68,1,277.8109977324263
69,1,281.53038548752835
70,1,285.4453968253968
71,1,289.11927437641725
72,1,292.76451247165534
73,1,296.59832199546486
74,1,300.3919954648526
75,1,304.0539229024943
76,1,307.7777551020408
77,1,311.56535147392293
78,1,315.66714285714284
79,1,319.48278911564626
80,1,323.2590702947846
81,1,326.9697052154195
82,1,330.77149659863943
83,1,334.5281859410431
84,1,338.5660997732426
85,1,342.4420861678004
