bar,beat,onset
1,1,3.9716099773242632
2,1,5.014353741496599
3,1,6.061360544217687
4,1,7.129115646258503
5,1,8.187777777777777
6,1,9.23047619047619
7,1,10.28063492063492
8,1,11.300702947845805
9,1,12.323537414965987
10,1,13.415328798185941
11,1,14.468775510204082
12,1,15.526507936507937
13,1,16.55984126984127
14,1,17.6275283446712
15,1,18.675351473922902
16,1,19.70793650793651
17,1,20.751020408163264
18,1,21.843424036281178
19,1,22.87639455782313
20,1,23.918072562358276
21,1,24.956417233560092
22,1,25.98907029478458
23,1,27.047233560090703
24,1,28.099591836734692
25,1,29.147460317460318
26,1,30.195510204081632
27,1,31.23814058956916
28,1,32.27718820861678
29,1,33.309659863945576
30,1,34.35190476190476
31,1,35.38480725623583
32,1,36.45238095238095
33,1,37.480725623582764
