bar,beat,onset
-1,1,3.1802947845804987
0,1,4.171428571428572
1,1,5.13655328798186
2,1,6.113786848072563
3,1,7.117142857142857
4,1,8.095124716553288
5,1,9.092857142857143
6,1,10.080566893424036
7,1,11.054399092970522
8,1,12.03249433106576
9,1,13.009727891156462
10,1,14.00204081632653
11,1,15.020045351473923
12,1,15.998231292517007
13,1,17.001496598639456
14,1,17.999115646258502
15,1,18.983673469387757
16,1,19.96469387755102
17,1,20.923038548752835
18,1,21.92061224489796
19,1,22.90612244897959
20,1,23.875918367346937
21,1,24.859546485260772
22,1,25.847573696145126
23,1,26.815827664399094
24,1,27.793877551020408
25,1,28.7621768707483
26,1,29.759024943310656
27,1,30.737142857142857
28,1,31.720748299319727
29,1,32.708662131519276
30,1,33.71616780045351
31,1,34.69641723356009
32,1,35.70068027210884
33,1,36.69009070294785
34,1,37.65269841269841
35,1,38.64628117913832
36,1,39.65374149659864
37,1,40.637256235827664
38,1,41.614444444444445
39,1,42.61222222222222
40,1,43.580385487528346
41,1,44.56845804988662
42,1,45.556167800453515
43,1,46.53891156462585
44,1,47.53655328798186
45,1,48.53006802721089
46,1,49.50816326530612
47,1,50.47063492063492
48,1,51.46836734693878
49,1,52.46147392290249
50,1,53.45482993197279
51,1,54.46222222222222
52,1,55.45569160997732
53,1,56.43371882086168
54,1,57.38956916099773
55,1,58.34412698412699
56,1,59.34285714285714
57,1,60.33582766439909
58,1,61.32448979591837
59,1,62.325759637188206
60,1,63.32353741496598
61,1,64.31138321995465
62,1,65.31428571428572
63,1,66.31739229024943
64,1,67.30532879818594
65,1,68.28240362811792
