bar,beat,onset
0,1,4.312063492063492
1,1,6.414625850340136
2,1,8.616598639455782
3,1,10.856893424036281
4,1,13.077256235827665
5,1,15.179591836734694
6,1,17.29956916099773
7,1,19.519954648526078
8,1,21.670022675736963
9,1,23.75981859410431
10,1,25.85514739229025
11,1,27.937755102040818
12,1,30.05750566893424
13,1,32.17725623582766
14,1,34.33517006802721
15,1,36.42786848072562
16,1,38.52798185941043
17,1,40.54766439909297
18,1,42.57476190476191
19,1,44.6218820861678
20,1,46.704807256235824
21,1,48.767709750566894
