bar,beat,onset
1,1,2.82702947845805
2,1,4.304263038548753
3,1,5.69469387755102
4,1,7.098185941043084
5,1,8.508775510204082
6,1,9.85485260770975
7,1,11.24609977324263
8,1,12.602108843537415
9,1,14.002925170068027
10,1,15.431814058956917
11,1,16.852267573696146
12,1,18.28952380952381
13,1,19.664285714285715
14,1,21.073673469387757
15,1,22.474444444444444
16,1,23.88482993197279
17,1,25.296371882086166
18,1,26.69716553287982
19,1,28.108775510204083
20,1,29.50954648526077
21,1,30.88310657596372
22,1,32.26646258503401
23,1,33.68573696145125
24,1,35.07954648526077
25,1,36.45140589569161
26,1,37.870725623582764
27,1,39.271315192743764
28,1,40.692585034013604
29,1,42.103151927437644
30,1,43.52233560090703
31,1,44.94260770975057
32,1,46.31616780045351
