bar,beat,onset
0,1,7.667551020408164
1,1,10.128480725623582
2,1,12.545918367346939
3,1,15.071927437641722
4,1,17.559183673469388
5,1,19.978208616780044
6,1,22.457142857142856
7,1,24.926167800453516
8,1,27.36498866213152
9,1,29.781632653061223
10,1,32.28628117913832
11,1,34.72721088435374
12,1,37.187891156462584
13,1,39.615102040816325
14,1,42.050725623582764
15,1,44.40043083900227
16,1,46.84748299319728
17,1,49.25131519274377
18,1,51.692086167800454
19,1,54.1059410430839
20,1,56.60482993197279
21,1,58.98208616780045
22,1,61.39485260770975
23,1,63.779773242630384
24,1,66.20612244897958
25,1,68.61646258503401
26,1,71.02229024943311
27,1,73.43111111111111
28,1,75.88560090702948
29,1,78.30090702947845
30,1,80.7671201814059
31,1,83.19126984126984
32,1,85.68049886621316
33,1,88.11961451247166
34,1,90.62687074829932
35,1,93.08043083900226
36,1,95.50027210884353
37,1,97.89757369614513
38,1,100.32027210884354
39,1,102.75705215419501
40,1,105.12879818594104
41,1,107.51891156462585
42,1,109.90879818594104
43,1,112.29897959183674
44,1,114.72521541950114
45,1,117.16700680272109
46,1,119.58410430839002
47,1,121.94818594104308
48,1,124.3649433106576
49,1,126.82036281179138
50,1,129.26049886621314
51,1,131.70714285714286
52,1,134.13861678004534
53,1,136.56632653061226
54,1,138.9684126984127
55,1,141.37412698412697
56,1,143.78843537414966
57,1,146.17541950113377
58,1,148.6021768707483
59,1,151.07820861678005
60,1,153.6051247165533
61,1,156.01503401360543
62,1,158.4409297052154
63,1,160.90360544217688
64,1,163.37777777777777
