bar,beat,onset
1,1,4.01172335600907
2,1,5.403922902494331
3,1,6.851428571428571
4,1,8.328820861678004
5,1,9.70204081632653
6,1,11.10281179138322
7,1,12.482380952380952
8,1,13.890521541950113
9,1,15.286984126984127
10,1,16.710861678004534
11,1,18.08079365079365
12,1,19.48297052154195
13,1,20.902290249433108
14,1,22.31249433106576
15,1,23.732335600907028
16,1,25.105102040816327
17,1,26.546394557823128
18,1,27.96424036281179
19,1,29.38342403628118
20,1,30.846643990929707
21,1,32.285714285714285
22,1,33.70204081632653
23,1,35.1371201814059
24,1,36.49657596371882
25,1,38.37092970521542
26,1,39.80421768707483
27,1,41.23750566893424
28,1,42.68807256235828
29,1,44.11238095238095
30,1,45.57800453514739
31,1,47.03798185941043
32,1,48.45424036281179
