bar,beat,onset
1,1,2.647981859410431
2,1,3.8439455782312923
3,1,5.100861678004535
4,1,6.302244897959183
5,1,7.548616780045352
6,1,8.73140589569161
7,1,9.962244897959184
8,1,11.1637641723356
9,1,12.355510204081632
10,1,13.551609977324263
11,1,14.779115646258504
12,1,15.980702947845804
13,1,17.16673469387755
14,1,18.379591836734694
15,1,19.56111111111111
16,1,20.727709750566895
17,1,21.904126984126986
18,1,23.095873015873014
19,1,24.297551020408164
20,1,25.483696145124718
21,1,26.641655328798187
22,1,27.80843537414966
23,1,29.009931972789115
24,1,30.201768707482994
25,1,31.348798185941043
26,1,32.52514739229025
27,1,33.747074829931975
28,1,34.97392290249433
29,1,36.179637188208616
30,1,37.38655328798186
31,1,38.59342403628118
32,1,39.779591836734696
33,1,40.94210884353741
