bar,beat,onset
1,1,6.048730158730159
2,1,8.214036281179139
3,1,10.269160997732426
4,1,12.232698412698413
5,1,14.261065759637189
6,1,16.33530612244898
7,1,18.380249433106577
8,1,20.42734693877551
9,1,22.427755102040816
10,1,24.39142857142857
11,1,26.429455782312925
12,1,28.438526077097507
13,1,30.474603174603175
14,1,32.51172335600907
15,1,34.54049886621315
16,1,36.52111111111111
17,1,38.485623582766436
18,1,40.47725623582767
19,1,42.485351473922904
20,1,44.49448979591837
21,1,46.53181405895692
22,1,48.513832199546485
23,1,50.57922902494331
24,1,52.57861678004535
25,1,54.65362811791383
26,1,56.67106575963719
27,1,58.735623582766436
28,1,60.755600907029475
29,1,62.76480725623583
30,1,64.77503401360545
31,1,66.85759637188208
32,1,68.82936507936508
33,1,70.81131519274376
34,1,72.80419501133787
35,1,74.82090702947846
36,1,76.86800453514739
37,1,78.86816326530612
38,1,80.832947845805
39,1,82.84068027210884
40,1,84.86947845804988
41,1,86.85984126984127
42,1,88.86916099773242
43,1,90.81424036281179
44,1,92.81344671201813
45,1,94.78802721088435
46,1,96.80571428571429
47,1,98.83337868480726
48,1,100.88052154195012
49,1,102.90764172335601
50,1,104.99174603174603
51,1,107.05732426303855
52,1,109.08478458049886
53,1,111.10204081632654
54,1,113.13181405895692
55,1,115.20399092970521
56,1,117.14124716553287
57,1,119.17854875283447
58,1,121.1324716553288
59,1,123.07721088435375
60,1,125.10467120181406
61,1,127.09512471655329
62,1,129.08689342403628
63,1,131.0689342403628
64,1,133.16113378684807
65,1,135.17861678004536
66,1,137.27174603174603
