bar,beat,onset
1,1,3.843083900226757
2,1,5.833968253968254
3,1,7.759773242630385
4,1,9.671496598639456
5,1,11.557619047619047
6,1,13.45859410430839
7,1,15.340975056689343
8,1,17.28746031746032
9,1,19.18281179138322
10,1,21.044149659863944
11,1,22.923900226757368
12,1,24.74231292517007
13,1,26.688843537414964
14,1,28.644625850340137
15,1,30.581451247165532
16,1,32.51179138321996
17,1,34.40380952380952
18,1,36.31988662131519
19,1,38.26070294784581
20,1,40.23199546485261
21,1,42.118820861678
22,1,44.090113378684805
23,1,46.02049886621315
24,1,47.882721088435375
25,1,49.81390022675737
26,1,51.79478458049886
27,1,53.74072562358277
28,1,55.70176870748299
29,1,57.55331065759637
30,1,59.474875283446714
31,1,61.35081632653061
32,1,63.23319727891157
33,1,65.127641723356
34,1,66.99369614512472
35,1,68.90541950113379
36,1,70.79650793650794
37,1,72.71795918367347
38,1,74.58956916099773
39,1,76.48598639455783
40,1,78.39183673469388
41,1,80.3585941043084
42,1,82.33439909297053
43,1,84.19131519274376
44,1,86.14643990929706
45,1,88.0188888888889
46,1,89.93965986394558
47,1,91.80673469387754
48,1,93.7621768707483
49,1,95.59283446712018
50,1,97.47430839002267
51,1,99.33156462585033
52,1,101.26179138321996
53,1,102.99492063492063
54,1,104.91095238095238
55,1,106.69839002267574
56,1,108.53526077097506
57,1,110.40160997732427
58,1,112.39292517006803
59,1,114.22392290249434
60,1,116.19267573696145
61,1,118.10340136054421
62,1,120.06947845804989
63,1,121.90086167800453
64,1,123.80269841269842
65,1,125.70433106575963
