bar,beat,onset
1,1,4.802562358276644
2,1,6.849886621315193
3,1,8.933877551020409
4,1,11.075918367346938
5,1,13.136689342403628
6,1,15.242698412698413
7,1,17.342426303854875
8,1,19.378231292517007
9,1,21.47780045351474
10,1,23.532947845804987
11,1,25.637732426303856
12,1,27.75764172335601
13,1,29.84673469387755
14,1,31.953560090702947
15,1,34.017369614512475
16,1,36.09795918367347
17,1,38.222902494331066
18,1,40.30755102040816
19,1,42.34739229024943
20,1,44.44750566893424
21,1,46.51253968253968
22,1,48.6124716553288
23,1,50.70269841269841
24,1,52.78308390022676
25,1,54.881632653061224
26,1,56.94249433106576
27,1,59.01632653061225
28,1,61.114285714285714
29,1,63.15537414965986
30,1,65.25857142857143
31,1,67.34859410430839
32,1,69.43861678004535
33,1,71.51349206349207
