bar,beat,onset
-1,1,3.374467120181406
0,1,4.785895691609977
1,1,6.160294784580499
2,1,7.541088435374149
3,1,8.919365079365079
4,1,10.276553287981859
5,1,11.676848072562358
6,1,13.041496598639457
7,1,14.402789115646259
8,1,15.76859410430839
9,1,17.18566893424036
10,1,18.558662131519274
11,1,19.948503401360544
12,1,21.36419501133787
13,1,22.738684807256234
14,1,24.094308390022675
15,1,25.47512471655329
16,1,26.890090702947845
17,1,28.275102040816325
18,1,29.646122448979593
19,1,31.055238095238096
20,1,32.46523809523809
21,1,33.85759637188209
22,1,35.22757369614512
23,1,36.62621315192744
24,1,38.026643990929706
25,1,39.41637188208617
26,1,40.82231292517007
27,1,42.20678004535147
28,1,43.5678231292517
29,1,44.95764172335601
30,1,46.32333333333333
31,1,47.73358276643991
32,1,49.103696145124715
33,1,50.49417233560091
