bar,beat,onset
1,1,1.3061224489795917
2,1,2.241541950113379
3,1,3.139659863945578
4,1,4.018934240362812
5,1,4.906122448979592
6,1,5.804988662131519
7,1,6.720408163265306
8,1,7.634625850340136
9,1,8.533469387755103
10,1,9.427845804988662
11,1,10.356167800453514
12,1,11.249977324263039
13,1,12.16326530612245
14,1,13.072902494331066
15,1,13.981632653061224
16,1,14.885351473922903
17,1,15.774489795918367
18,1,16.66362811791383
19,1,17.557142857142857
20,1,18.48560090702948
21,1,19.36503401360544
22,1,20.249795918367347
23,1,21.16750566893424
24,1,22.07174603174603
25,1,22.960997732426303
26,1,23.839455782312925
27,1,24.753809523809522
28,1,25.627823129251702
29,1,26.54097505668934
30,1,27.455260770975055
31,1,28.353922902494332
32,1,29.223628117913833
33,1,30.12172335600907
34,1,31.001156462585033
35,1,31.935034013605442
36,1,32.833061224489796
37,1,33.73766439909297
38,1,34.617120181405895
39,1,35.515260770975054
40,1,36.394557823129254
41,1,37.283854875283446
42,1,38.17768707482993
43,1,39.076575963718824
44,1,39.97546485260771
45,1,40.85390022675737
46,1,41.75829931972789
47,1,42.6574149659864
48,1,43.517324263038546
49,1,44.40555555555556
50,1,45.28480725623583
51,1,46.17371882086168
52,1,47.06294784580499
53,1,47.957913832199544
54,1,48.865532879818595
55,1,49.75451247165533
56,1,50.66809523809524
57,1,51.55691609977324
58,1,52.43614512471655
59,1,53.32523809523809
60,1,54.21442176870748
61,1,55.113356009070294
62,1,55.97551020408163
63,1,56.87106575963719
64,1,57.755102040816325
65,1,58.65501133786848
66,1,59.56278911564626
67,1,60.452063492063495
68,1,61.33136054421769
69,1,62.20950113378685
70,1,63.11439909297052
71,1,64.01324263038549
72,1,64.9021768707483
73,1,65.80673469387754
74,1,66.70448979591836
75,1,67.62857142857143
76,1,68.51746031746032
77,1,69.39698412698412
78,1,70.2505215419501
79,1,71.12018140589569
80,1,72.0190022675737
81,1,72.91272108843538
82,1,73.81172335600907
83,1,74.7007029478458
84,1,75.60997732426304
85,1,76.4934693877551
86,1,77.40612244897959
87,1,78.30131519274376
88,1,79.17424036281179
89,1,80.07401360544218
90,1,80.96340136054421
91,1,81.85229024943311
92,1,82.75648526077097
93,1,83.65546485260771
94,1,84.53378684807257
95,1,85.45315192743764
96,1,86.34750566893425
97,1,87.21079365079365
98,1,88.10544217687075
99,1,89.00467120181406
100,1,89.90185941043084
101,1,90.79727891156463
102,1,91.6766439909297
103,1,92.5734693877551
104,1,93.47340136054422
105,1,94.36267573696145
106,1,95.23224489795918
107,1,96.110589569161
108,1,97.02492063492063
109,1,97.91419501133787
110,1,98.80333333333333
111,1,99.66585034013606
112,1,100.5469387755102
113,1,101.43469387755103
114,1,102.33034013605442
115,1,103.24321995464852
116,1,104.13251700680271
117,1,105.03049886621315
118,1,105.94471655328798
119,1,106.83401360544218
120,1,107.7134693877551
121,1,108.62142857142857
122,1,109.50609977324262
123,1,110.40517006802722
124,1,111.30385487528345
125,1,112.20213151927437
126,1,113.07959183673469
127,1,113.96628117913832
128,1,114.8492970521542
129,1,115.71879818594104
130,1,116.59829931972789
131,1,117.51244897959184
132,1,118.39079365079365
133,1,119.28979591836735
134,1,120.17863945578232
135,1,121.08045351473923
136,1,121.98195011337869
137,1,122.85056689342403
138,1,123.72
139,1,124.60931972789116
140,1,125.50730158730158
141,1,126.3674149659864
142,1,127.24655328798185
143,1,128.14566893424038
144,1,129.02392290249432
145,1,129.89342403628117
146,1,130.80219954648527
147,1,131.70678004535148
148,1,132.58968253968254
149,1,133.4691156462585
150,1,134.33795918367346
151,1,135.21725623582768
152,1,136.12244897959184
153,1,137.01011337868482
154,1,137.89936507936508
155,1,138.78852607709752
156,1,139.69233560090703
157,1,140.55473922902493
158,1,141.44
159,1,142.32421768707482
160,1,143.2286621315193
161,1,144.1274149659864
162,1,144.99655328798187
163,1,145.9055782312925
164,1,146.80904761904762
165,1,147.66356009070296
166,1,148.53294784580498
167,1,149.44637188208617
168,1,150.30857142857144
169,1,151.17916099773242
170,1,152.0887074829932
171,1,152.99215419501132
172,1,153.87174603174603
173,1,154.76975056689344
174,1,155.6743537414966
175,1,156.56301587301587
176,1,157.4425850340136
177,1,158.3057596371882
178,1,159.18519274376416
179,1,160.07111111111112
180,1,160.9690022675737
181,1,161.8473015873016
182,1,162.72664399092972
183,1,163.62503401360544
184,1,164.5138321995465
185,1,165.3877551020408
186,1,166.28267573696147
187,1,167.1714058956916
188,1,168.06061224489795
189,1,168.93909297052153
190,1,169.83655328798187
191,1,170.71319727891157
192,1,171.61131519274377
193,1,172.52560090702949
194,1,173.41469387755103
