bar,beat,onset
-2,1,2.8715192743764173
-1,1,4.631156462585034
0,1,6.502789115646259
1,1,8.300136054421769
2,1,10.096825396825396
3,1,11.853061224489796
4,1,13.609863945578232
5,1,15.361904761904762
6,1,17.131473922902494
7,1,18.928027210884355
8,1,20.699750566893425
9,1,22.449546485260772
10,1,24.211496598639457
11,1,25.96265306122449
12,1,27.70501133786848
13,1,29.431292517006803
14,1,31.115850340136053
15,1,32.867006802721086
16,1,34.61907029478458
17,1,36.340816326530614
18,1,38.06696145124717
19,1,39.82673469387755
20,1,41.57879818594105
21,1,43.302721088435376
22,1,45.03437641723356
23,1,46.750589569161
24,1,48.47342403628118
25,1,50.21691609977324
26,1,51.95848072562358
27,1,53.71054421768707
28,1,55.43408163265306
29,1,57.16662131519274
30,1,58.90047619047619
31,1,60.63301587301587
32,1,62.38426303854875
33,1,64.09823129251701
34,1,65.81471655328798
35,1,67.57444444444444
