bar,beat,onset
0,1,10.334739229024944
1,1,12.307165532879818
2,1,14.344126984126984
3,1,16.35265306122449
4,1,18.29875283446712
5,1,20.308866213151926
6,1,22.296961451247167
7,1,24.30015873015873
8,1,26.272517006802723
9,1,28.24485260770975
10,1,30.216916099773243
11,1,32.2544671201814
12,1,34.20922902494331
13,1,36.19990929705215
14,1,38.183174603174606
15,1,40.155419501133785
16,1,42.14589569160998
17,1,44.07272108843537
18,1,46.06467120181406
19,1,48.04446712018141
20,1,49.99922902494331
21,1,51.96045351473923
22,1,53.881179138322
23,1,55.84358276643991
24,1,57.875736961451246
25,1,59.84562358276644
26,1,61.789750566893424
27,1,63.807369614512474
28,1,65.80909297052155
29,1,67.79102040816326
30,1,69.75367346938775
31,1,71.73877551020408
32,1,73.73600907029478
33,1,75.67256235827665
34,1,77.67074829931973
35,1,79.60736961451248
36,1,81.60775510204081
37,1,83.55102040816327
