bar,beat,onset
-1,1,1.2190022675736962
0,1,2.3896145124716552
1,1,3.5052154195011336
2,1,4.6754875283446715
3,1,5.8113151927437645
4,1,6.972539682539683
5,1,8.124943310657596
6,1,9.258458049886622
7,1,10.403174603174604
8,1,11.50891156462585
9,1,12.669909297052154
10,1,13.81469387755102
11,1,14.930068027210885
12,1,16.07278911564626
13,1,17.23360544217687
14,1,18.359637188208616
15,1,19.475079365079367
16,1,20.60816326530612
17,1,21.761632653061223
18,1,22.886598639455784
19,1,23.992154195011338
20,1,25.127800453514737
21,1,26.26049886621315
22,1,27.423650793650793
23,1,28.566326530612244
24,1,29.70965986394558
25,1,30.825170068027212
26,1,31.96
27,1,33.08390022675737
28,1,34.23265306122449
29,1,35.35918367346939
30,1,36.48702947845805
31,1,37.63265306122449
32,1,38.735351473922904
33,1,39.84176870748299
34,1,40.97621315192744
35,1,42.119954648526075
36,1,43.207301587301586
37,1,44.35092970521542
