bar,beat,onset
1,1,0.8243083900226758
2,1,1.6370068027210884
3,1,2.4571428571428573
4,1,3.2914285714285714
5,1,4.151020408163265
6,1,5.0213151927437645
7,1,5.9
8,1,6.759183673469388
9,1,7.616145124716553
10,1,8.493242630385488
11,1,9.3443537414966
12,1,10.213514739229025
13,1,11.093877551020409
14,1,11.957142857142857
15,1,12.824489795918367
16,1,13.712244897959184
17,1,14.583083900226757
18,1,15.412312925170069
19,1,16.280362811791385
20,1,17.118367346938776
21,1,17.957256235827664
22,1,18.79172335600907
23,1,19.62857142857143
24,1,20.493877551020407
25,1,21.31591836734694
26,1,22.143378684807256
27,1,22.98061224489796
28,1,23.827256235827665
29,1,24.66530612244898
30,1,25.49795918367347
31,1,26.30204081632653
32,1,27.114557823129253
33,1,27.93360544217687
34,1,28.786938775510205
35,1,29.6518820861678
36,1,30.489795918367346
37,1,31.32952380952381
38,1,32.1204081632653
39,1,32.96122448979592
40,1,33.813310657596375
41,1,34.62820861678004
42,1,35.454580498866214
43,1,36.29387755102041
44,1,37.115260770975055
45,1,37.95510204081633
46,1,38.79473922902494
47,1,39.624489795918365
48,1,40.43877551020408
49,1,41.29142857142857
50,1,42.12378684807256
51,1,42.96281179138322
52,1,43.79283446712018
53,1,44.64968253968254
54,1,45.48444444444444
55,1,46.33761904761905
56,1,47.15102040816326
57,1,48.00816326530612
58,1,48.83673469387755
59,1,49.691700680272106
60,1,50.525668934240365
61,1,51.37437641723356
62,1,52.233809523809526
63,1,53.10374149659864
64,1,53.931927437641725
65,1,54.751020408163264
66,1,55.56047619047619
67,1,56.375736961451246
68,1,57.21625850340136
69,1,58.05378684807256
70,1,58.90873015873016
71,1,59.73222222222222
72,1,60.55102040816327
73,1,61.37981859410431
74,1,62.22011337868481
75,1,63.07113378684807
76,1,63.91836734693877
77,1,64.75839002267574
78,1,65.59
79,1,66.42201814058957
80,1,67.2734693877551
81,1,68.11541950113379
82,1,68.94081632653061
83,1,69.83507936507937
84,1,70.65775510204081
85,1,71.52798185941043
86,1,72.378231292517
87,1,73.22571428571429
88,1,74.09795918367347
89,1,74.93659863945578
90,1,75.75478458049886
91,1,76.59972789115646
92,1,77.4469387755102
93,1,78.3061224489796
94,1,79.12371882086168
95,1,79.97988662131519
96,1,80.83086167800454
97,1,81.67145124716554
98,1,82.50891156462585
99,1,83.33351473922903
100,1,84.181179138322
101,1,84.99623582766439
102,1,85.83074829931972
103,1,86.68124716553288
104,1,87.50580498866213
105,1,88.33451247165533
106,1,89.14693877551021
107,1,89.9634693877551
108,1,90.77993197278911
109,1,91.63174603174603
110,1,92.46850340136055
111,1,93.27455782312926
112,1,94.14285714285714
113,1,94.99591836734695
114,1,95.84526077097506
115,1,96.69965986394558
116,1,97.56006802721089
117,1,98.40036281179138
118,1,99.228820861678
119,1,100.05736961451247
120,1,100.8825850340136
121,1,101.72244897959183
122,1,102.5371201814059
123,1,103.36331065759637
124,1,104.19083900226758
125,1,105.01945578231293
126,1,105.86122448979592
127,1,106.70861678004535
128,1,107.54755102040816
129,1,108.36868480725623
130,1,109.23673469387755
131,1,110.06850340136054
132,1,110.88219954648527
133,1,111.73308390022676
134,1,112.55102040816327
135,1,113.37789115646258
136,1,114.20979591836735
137,1,115.04414965986395
138,1,115.86510204081632
139,1,116.67736961451247
140,1,117.52151927437642
141,1,118.34530612244897
142,1,119.19111111111111
143,1,120.02857142857142
144,1,120.89387755102041
145,1,121.73496598639456
