bar,beat,onset
-5,1,1.4456916099773243
-4,1,2.3443990929705216
-3,1,3.2435827664399093
-2,1,4.119546485260771
-1,1,5.0390702947845805
0,1,5.915079365079365
1,1,6.800997732426304
2,1,7.699478458049887
3,1,8.597823129251701
4,1,9.498027210884354
5,1,10.39408163265306
6,1,11.323854875283446
7,1,12.220453514739228
8,1,13.097755102040816
9,1,13.995532879818594
10,1,14.89419501133787
11,1,15.82312925170068
12,1,16.742698412698413
13,1,17.684149659863944
14,1,18.541337868480724
15,1,19.43877551020408
16,1,20.32360544217687
17,1,21.220816326530613
18,1,22.097437641723356
19,1,23.017392290249433
20,1,23.945646258503402
21,1,24.844920634920634
22,1,25.791836734693877
23,1,26.7575283446712
24,1,27.67707482993197
25,1,28.532131519274376
26,1,29.45219954648526
27,1,30.38403628117914
28,1,31.27863945578231
29,1,32.19823129251701
30,1,33.118095238095236
31,1,34.04802721088436
32,1,34.95063492063492
33,1,35.80136054421769
34,1,36.72857142857143
35,1,37.69183673469388
36,1,38.6124716553288
37,1,39.488412698412695
38,1,40.40784580498866
39,1,41.315238095238094
40,1,42.234580498866215
41,1,43.11197278911565
42,1,44.009569160997735
43,1,44.887256235827664
44,1,45.79387755102041
45,1,46.63934240362812
46,1,47.57047619047619
47,1,48.467074829931974
48,1,49.40854875283447
49,1,50.33061224489796
50,1,51.23428571428571
51,1,52.175714285714285
52,1,53.05283446712018
53,1,53.93904761904762
54,1,54.83641723356009
55,1,55.75834467120181
56,1,56.633650793650794
57,1,57.531678004535145
58,1,58.480816326530615
59,1,59.37986394557823
60,1,60.2997052154195
61,1,61.199773242630386
62,1,62.105827664399094
63,1,62.98979591836735
64,1,63.92224489795918
65,1,64.87337868480725
66,1,65.79269841269841
67,1,66.670589569161
68,1,67.54637188208616
69,1,68.44469387755102
70,1,69.39600907029478
71,1,70.29281179138322
72,1,71.19104308390023
73,1,72.09013605442176
74,1,72.96607709750567
75,1,73.87301587301587
76,1,74.80816326530612
77,1,75.71224489795918
78,1,76.59151927437642
79,1,77.48780045351474
80,1,78.39539682539683
81,1,79.33643990929706
82,1,80.27750566893424
83,1,81.19183673469388
84,1,82.10399092970522
85,1,82.9812925170068
86,1,83.90108843537415
87,1,84.77852607709751
88,1,85.68444444444444
89,1,86.58387755102041
90,1,87.50208616780046
