bar,beat,onset
0,1,2.564625850340136
1,1,3.6898866213151926
2,1,4.833446712018141
3,1,6.0040589569161
4,1,7.166326530612245
5,1,8.337052154195012
6,1,9.49798185941043
7,1,10.668639455782312
8,1,11.821201814058957
9,1,12.974467120181405
10,1,14.126712018140589
11,1,15.269954648526078
12,1,16.375668934240363
13,1,17.518866213151927
14,1,18.616938775510203
15,1,19.78748299319728
16,1,20.93013605442177
17,1,22.09299319727891
18,1,23.24621315192744
19,1,24.379160997732427
20,1,25.531519274376418
21,1,26.702290249433105
22,1,27.863310657596372
23,1,28.97859410430839
24,1,30.141678004535148
25,1,31.266802721088435
26,1,32.40990929705215
27,1,33.55242630385487
28,1,34.685873015873014
29,1,35.85634920634921
30,1,36.98167800453515
31,1,38.13469387755102
32,1,39.26938775510204
33,1,40.391836734693875
34,1,41.536485260770974
35,1,42.67142857142857
36,1,43.8146485260771
