bar,beat,onset
0,1,2.153650793650794
1,1,5.84578231292517
2,1,9.560816326530611
3,1,13.316439909297053
4,1,17.03183673469388
5,1,20.687732426303853
6,1,24.374875283446713
7,1,28.033356009070296
8,1,31.73655328798186
9,1,35.469138321995466
10,1,39.197482993197276
11,1,42.92993197278911
12,1,46.673469387755105
13,1,50.45115646258503
14,1,54.25718820861678
15,1,58.00476190476191
16,1,61.737528344671205
17,1,65.46285714285715
18,1,69.18272108843537
19,1,72.96546485260771
20,1,76.71292517006803
21,1,80.46551020408164
22,1,84.20385487528344
23,1,88.01523809523809
24,1,91.84739229024943
25,1,95.69444444444444
