bar,beat,onset
-3,1,2.7224489795918365
-2,1,3.946938775510204
-1,1,5.123514739229025
0,1,6.385578231292517
1,1,7.63546485260771
2,1,8.870861678004536
3,1,10.151020408163266
4,1,11.383673469387755
5,1,12.631065759637188
6,1,13.863378684807257
7,1,15.10721088435374
8,1,16.303696145124718
9,1,17.53950113378685
10,1,18.813786848072564
11,1,20.023492063492064
12,1,21.256145124716554
13,1,22.437256235827665
14,1,23.661473922902495
15,1,24.86938775510204
16,1,26.075963718820862
17,1,27.24875283446712
18,1,28.526530612244898
19,1,29.683356009070295
20,1,30.903809523809525
21,1,32.14004535147392
22,1,33.33174603174603
23,1,34.56766439909297
24,1,35.738526077097504
25,1,36.92448979591837
26,1,38.16696145124717
27,1,39.36501133786848
28,1,40.559183673469384
29,1,41.77591836734694
30,1,43.00201814058957
31,1,44.18757369614512
32,1,45.41988662131519
33,1,46.61632653061225
