bar,beat,onset
-1,1,1.195827664399093
0,1,3.0872108843537416
1,1,4.979160997732427
2,1,6.93453514739229
3,1,8.865691609977324
4,1,10.746893424036282
5,1,12.658752834467121
6,1,14.53453514739229
7,1,16.426643990929705
8,1,18.317777777777778
9,1,20.18482993197279
10,1,22.120521541950115
11,1,24.022494331065758
12,1,25.87950113378685
13,1,27.844761904761906
14,1,29.75643990929705
15,1,31.627913832199546
16,1,33.54947845804989
17,1,35.46995464852608
18,1,37.3618820861678
19,1,39.23777777777778
20,1,41.142857142857146
21,1,43.08621315192744
22,1,44.96727891156463
23,1,46.799455782312926
24,1,48.671292517006805
25,1,50.56750566893424
26,1,52.483809523809526
27,1,54.37047619047619
28,1,56.315895691609974
29,1,58.28201814058957
30,1,60.16328798185941
31,1,62.12931972789116
32,1,64.04011337868481
33,1,65.96698412698413
34,1,67.83328798185941
35,1,69.73521541950113
36,1,71.68176870748299
37,1,73.63705215419502
38,1,75.51916099773243
39,1,77.38528344671202
40,1,79.28736961451247
41,1,81.14362811791383
42,1,83.06514739229024
43,1,85.01079365079364
44,1,86.95739229024943
45,1,88.86789115646259
46,1,90.74285714285715
47,1,92.72517006802721
48,1,94.6271201814059
49,1,96.53773242630386
50,1,98.4530612244898
51,1,100.37519274376417
52,1,102.25222222222222
53,1,104.18902494331066
54,1,106.08011337868481
55,1,108.04609977324263
56,1,109.91746031746031
57,1,111.87396825396826
58,1,113.84489795918367
59,1,115.78553287981859
60,1,117.77671201814059
61,1,119.72210884353741
62,1,121.6981179138322
63,1,123.66988662131519
64,1,125.73024943310658
65,1,127.84326530612245
