bar,beat,onset
1,1,2.4683673469387757
2,1,3.5183673469387755
3,1,4.433151927437642
4,1,5.311814058956916
5,1,6.210793650793651
6,1,7.124965986394558
7,1,8.004263038548753
8,1,8.892471655328798
9,1,9.791609977324264
10,1,10.696054421768707
11,1,11.599659863945579
12,1,12.508367346938776
13,1,13.368253968253969
14,1,14.246643990929705
15,1,15.145646258503401
16,1,16.009614512471654
17,1,16.923197278911566
18,1,17.82201814058957
19,1,18.6915873015873
20,1,19.579863945578232
21,1,20.45920634920635
22,1,21.354036281179138
23,1,22.226938775510202
24,1,23.121609977324262
25,1,24.001678004535147
26,1,24.874104308390024
27,1,25.76328798185941
28,1,26.647301587301587
29,1,27.5365306122449
30,1,28.3997052154195
31,1,29.294489795918366
32,1,30.183492063492064
33,1,31.07172335600907
34,1,31.951201814058958
35,1,32.837755102040816
36,1,33.76360544217687
37,1,34.652743764172335
38,1,35.49736961451247
39,1,36.36600907029479
40,1,37.2356462585034
41,1,38.08909297052154
42,1,38.97829931972789
43,1,39.86746031746032
44,1,40.771133786848075
45,1,41.645102040816326
46,1,42.49523809523809
47,1,43.393356009070295
48,1,44.30730158730159
49,1,45.19680272108844
50,1,46.07519274376417
51,1,46.92950113378685
52,1,47.8178231292517
53,1,48.66798185941043
54,1,49.54732426303855
55,1,50.41072562358276
56,1,51.270589569161
57,1,52.13469387755102
58,1,53.00317460317461
59,1,53.90757369614512
60,1,54.79031746031746
61,1,55.67514739229025
62,1,56.55439909297052
63,1,57.44362811791383
64,1,58.28705215419501
65,1,59.1415873015873
66,1,59.99079365079365
67,1,60.86462585034013
68,1,61.71480725623583
69,1,62.603038548752835
70,1,63.46716553287982
71,1,64.34555555555555
72,1,65.20548752834468
73,1,66.09460317460318
74,1,66.97337868480726
75,1,67.8625850340136
76,1,68.73210884353742
77,1,69.56607709750567
78,1,70.40816326530613
79,1,71.26122448979592
80,1,72.12870748299319
81,1,73.00716553287982
82,1,73.88650793650794
83,1,74.76600907029479
84,1,75.62489795918367
85,1,76.45968253968255
86,1,77.36755102040816
87,1,78.28204081632653
88,1,79.2058276643991
89,1,80.13965986394558
90,1,81.01802721088436
91,1,81.87240362811791
92,1,82.7322902494331
93,1,83.59555555555555
94,1,84.45530612244897
95,1,85.28979591836735
96,1,86.14356009070295
97,1,87.01222222222222
98,1,87.85687074829931
99,1,88.7262358276644
100,1,89.60478458049887
101,1,90.46897959183673
102,1,91.30380952380952
103,1,92.19199546485261
104,1,93.0419954648526
105,1,93.88662131519274
106,1,94.7204081632653
107,1,95.56501133786848
108,1,96.44340136054421
109,1,97.30736961451247
110,1,98.17702947845805
111,1,99.02077097505669
112,1,99.86104308390023
113,1,100.72430839002267
114,1,101.5840589569161
115,1,102.4384126984127
116,1,103.28195011337868
117,1,104.14179138321995
118,1,104.99528344671202
119,1,105.86487528344671
120,1,106.70947845804989
121,1,107.57820861678005
122,1,108.44235827664399
123,1,109.28609977324263
124,1,110.15562358276644
125,1,111.00578231292516
126,1,111.83977324263039
127,1,112.70371882086168
128,1,113.53766439909298
129,1,114.39213151927437
130,1,115.25115646258503
131,1,116.13052154195012
132,1,116.96530612244898
133,1,117.83403628117914
134,1,118.70807256235828
135,1,119.59632653061225
136,1,120.44616780045351
137,1,121.30072562358276
138,1,122.16934240362812
139,1,123.01356009070295
140,1,123.89326530612244
141,1,124.7367120181406
142,1,125.59650793650793
143,1,126.43063492063492
144,1,127.26530612244898
145,1,128.08392290249432
146,1,128.9785941043084
147,1,129.80784580498866
148,1,130.64181405895692
149,1,131.50174603174602
150,1,132.36503401360545
151,1,133.22478458049886
152,1,134.0487528344671
153,1,134.88371882086167
154,1,135.73807256235827
155,1,136.60666666666665
156,1,137.43179138321995
157,1,138.28514739229024
158,1,139.19408163265305
159,1,140.09845804988663
160,1,140.92265306122448
161,1,141.80204081632652
162,1,142.6554195011338
163,1,143.4802947845805
164,1,144.32403628117913
165,1,145.20356009070295
166,1,146.05784580498866
167,1,146.89165532879818
168,1,147.7067120181406
169,1,148.5961904761905
170,1,149.42009070294785
171,1,150.28428571428572
172,1,151.13326530612244
173,1,151.96814058956917
174,1,152.82260770975057
175,1,153.6313605442177
176,1,154.44659863945577
177,1,155.28034013605443
178,1,156.10544217687075
179,1,156.98378684807255
180,1,157.8381859410431
181,1,158.6828798185941
182,1,159.56131519274376
183,1,160.44045351473923
184,1,161.2950113378685
185,1,162.19834467120182
186,1,163.0972335600907
187,1,164.0116326530612
188,1,164.90963718820862
189,1,165.81433106575963
190,1,166.63820861678005
191,1,167.5122448979592
192,1,168.43628117913832
193,1,169.28560090702948
194,1,170.12984126984128
195,1,171.0192970521542
196,1,171.86267573696145
197,1,172.74231292517007
198,1,173.5859410430839
199,1,174.44580498866213
200,1,175.2895238095238
201,1,176.1242403628118
202,1,176.94283446712018
203,1,177.77770975056688
204,1,178.6375283446712
205,1,179.47151927437642
206,1,180.36074829931974
207,1,181.24968253968254
208,1,182.13795918367347
209,1,182.98784580498867
210,1,183.79668934240362
211,1,184.66639455782314
212,1,185.50108843537416
213,1,186.33510204081634
214,1,187.20879818594105
215,1,188.05882086167802
216,1,188.94698412698412
217,1,189.83585034013606
