bar,beat,onset
1,1,0.42857142857142855
2,1,1.9121541950113379
3,1,3.4816326530612245
4,1,5.0600680272108844
5,1,6.597755102040816
6,1,8.168820861678004
7,1,9.706961451247166
8,1,11.246734693877551
9,1,12.809659863945578
10,1,14.379886621315192
11,1,15.872426303854875
12,1,17.402290249433108
13,1,18.919954648526076
14,1,20.442834467120182
15,1,21.960362811791384
16,1,23.491972789115646
17,1,25.024489795918367
18,1,26.594761904761906
19,1,28.118299319727893
20,1,29.658049886621317
21,1,31.19578231292517
22,1,32.72047619047619
23,1,34.22197278911565
24,1,35.76913832199546
25,1,37.33179138321996
26,1,38.82408163265306
27,1,40.36403628117914
28,1,41.90954648526077
29,1,43.43507936507937
30,1,44.95963718820862
31,1,46.49750566893424
32,1,47.999047619047616
33,1,49.52421768707483
34,1,51.04009070294784
35,1,52.53061224489796
36,1,54.04984126984127
37,1,55.56569160997732
38,1,57.09707482993197
39,1,58.628412698412696
40,1,60.19206349206349
41,1,61.74015873015873
42,1,63.22421768707483
43,1,64.75390022675737
44,1,66.2798866213152
45,1,67.8031746031746
46,1,69.30600907029478
47,1,70.82791383219954
48,1,72.3753514739229
49,1,73.88469387755102
50,1,75.40201814058958
51,1,76.93061224489796
52,1,78.46446712018141
53,1,79.99628117913832
54,1,81.48344671201814
55,1,82.99031746031746
56,1,84.50006802721089
57,1,85.99380952380952
58,1,87.51687074829933
59,1,89.04489795918367
60,1,90.53526077097506
61,1,92.03673469387755
62,1,93.49904761904762
63,1,94.99204081632654
64,1,96.54814058956916
65,1,98.0853514739229
66,1,99.60306122448979
67,1,101.09607709750567
68,1,102.62448979591836
69,1,104.15834467120182
70,1,105.69054421768708
71,1,107.2237641723356
72,1,108.76342403628118
