bar,beat,onset
1,1,12.236916099773243
2,1,16.39328798185941
3,1,20.367233560090703
4,1,24.369342403628117
5,1,28.479274376417234
6,1,32.43827664399093
7,1,36.472743764172336
8,1,40.42448979591837
9,1,44.18757369614512
10,1,48.18721088435374
11,1,52.11718820861678
12,1,56.23668934240363
13,1,60.200430839002266
14,1,64.28979591836735
15,1,68.27419501133787
16,1,72.341768707483
17,1,76.44589569160998
18,1,80.4033560090703
19,1,84.43936507936507
20,1,88.61895691609978
21,1,92.71727891156462
22,1,96.74437641723355
23,1,100.69818594104308
24,1,104.79165532879819
25,1,108.98439909297052
26,1,113.08596371882086
27,1,117.02857142857142
28,1,121.06938775510204
29,1,125.00265306122449
30,1,129.09489795918367
31,1,132.98514739229026
32,1,137.00374149659865
33,1,141.03083900226758
34,1,145.15049886621316
35,1,148.9290022675737
36,1,152.9572335600907
37,1,156.81884353741498
38,1,160.76916099773243
39,1,164.70916099773243
40,1,168.70002267573696
41,1,172.6998866213152
42,1,176.6528798185941
43,1,180.44807256235828
44,1,184.38385487528345
45,1,188.29399092970522
46,1,192.1102947845805
47,1,195.89514739229026
48,1,199.7554648526077
49,1,203.42421768707484
50,1,207.25367346938776
51,1,211.1331746031746
52,1,215.0785941043084
53,1,218.94956916099773
54,1,222.65326530612245
55,1,226.46986394557823
56,1,230.1926530612245
57,1,234.11111111111111
58,1,238.30378684807258
59,1,242.15698412698413
60,1,246.0362358276644
61,1,249.98968253968255
62,1,254.08360544217686
63,1,258.02709750566896
64,1,262.28646258503403
65,1,266.3036507936508
