bar,beat,onset
1,1,4.893605442176871
2,1,8.696462585034014
3,1,12.463764172335601
4,1,16.345873015873014
5,1,20.13800453514739
6,1,23.950090702947847
7,1,27.746938775510205
8,1,31.529455782312926
9,1,35.341201814058955
10,1,39.143083900226756
11,1,42.89086167800453
12,1,46.66784580498866
13,1,50.400408163265304
14,1,54.173151927437644
15,1,57.92510204081633
16,1,61.692585034013604
17,1,65.2963492063492
18,1,68.93975056689342
19,1,72.75707482993197
20,1,76.58861678004536
21,1,80.34619047619047
22,1,84.17396825396825
23,1,87.86195011337868
24,1,91.70870748299319
25,1,95.54015873015874
26,1,99.22371882086168
27,1,102.90131519274377
28,1,106.65907029478458
29,1,110.4456462585034
30,1,114.21308390022676
31,1,117.92600907029478
32,1,121.69875283446711
33,1,125.51043083900227
34,1,129.2426530612245
35,1,133.0646485260771
36,1,136.87702947845804
37,1,140.83816326530612
38,1,144.66938775510204
39,1,148.43673469387755
40,1,152.27380952380952
41,1,156.26122448979592
42,1,160.26122448979592
43,1,164.21124716553288
44,1,168.17780045351475
45,1,172.09412698412697
46,1,175.96038548752836
47,1,179.92566893424035
48,1,183.92691609977325
49,1,187.88798185941044
50,1,191.87931972789116
51,1,196.09795918367348
52,1,200.2764172335601
53,1,204.0590022675737
