bar,beat,onset
-2,1,2.571065759637188
-1,1,4.864285714285714
0,1,7.145487528344671
1,1,9.450521541950113
2,1,11.694149659863946
3,1,13.920362811791383
4,1,16.285895691609976
5,1,18.484625850340137
6,1,20.78219954648526
7,1,23.119410430839004
8,1,25.451156462585033
9,1,27.724625850340136
10,1,30.06877551020408
11,1,32.33689342403628
12,1,34.61843537414966
13,1,36.90571428571429
14,1,39.216371882086165
15,1,41.488571428571426
16,1,43.748548752834466
17,1,46.04206349206349
18,1,48.33378684807256
19,1,50.61224489795919
20,1,52.85657596371882
21,1,55.09829931972789
22,1,57.3291156462585
23,1,59.63673469387755
24,1,61.95510204081633
25,1,64.25748299319729
26,1,66.66591836734693
27,1,68.83956916099773
28,1,71.11401360544218
29,1,73.39630385487528
30,1,75.68106575963719
31,1,77.9398866213152
32,1,80.26086167800453
33,1,82.4681179138322
34,1,84.7831746031746
35,1,87.03673469387755
36,1,89.28786848072562
37,1,91.55281179138322
38,1,93.82691609977324
39,1,96.0540589569161
40,1,98.27396825396825
41,1,100.59902494331065
42,1,102.92199546485261
43,1,105.16458049886621
44,1,107.3727664399093
45,1,109.62403628117914
46,1,111.77897959183673
47,1,113.97934240362812
48,1,116.24378684807256
49,1,118.53210884353742
50,1,120.78092970521541
51,1,123.09603174603174
52,1,125.33675736961452
53,1,127.59827664399093
54,1,129.81471655328798
55,1,132.056462585034
56,1,134.22054421768706
57,1,136.57469387755103
58,1,138.81371882086168
59,1,141.0796371882086
60,1,143.39192743764173
61,1,145.62439909297052
62,1,147.83816326530612
63,1,150.04308390022675
64,1,152.19131519274376
65,1,154.34136054421768
66,1,156.52049886621316
67,1,158.74249433106576
68,1,160.99190476190475
69,1,163.15501133786847
70,1,165.3729931972789
71,1,167.53925170068027
72,1,169.71804988662132
73,1,171.91530612244898
74,1,174.19195011337868
75,1,176.41024943310657
76,1,178.66122448979593
77,1,180.93684807256236
78,1,183.149410430839
79,1,185.4321088435374
80,1,187.61244897959185
81,1,189.8612925170068
82,1,192.0950566893424
83,1,194.365873015873
84,1,196.6306575963719
85,1,198.77655328798187
86,1,200.92975056689343
87,1,203.0848299319728
88,1,205.3198185941043
89,1,207.51530612244898
90,1,209.75526077097507
91,1,211.95648526077096
92,1,214.25632653061226
93,1,216.46061224489796
94,1,218.69614512471657
95,1,220.9548752834467
96,1,223.1112925170068
97,1,225.29730158730158
98,1,227.48097505668935
