bar,beat,onset
1,1,2.5404308390022674
2,1,3.9069614512471653
3,1,5.24453514739229
4,1,6.609773242630386
5,1,7.946984126984127
6,1,9.275419501133786
7,1,10.580861678004535
8,1,11.924421768707482
9,1,13.248253968253968
10,1,14.606167800453514
11,1,15.996530612244898
12,1,17.351020408163265
13,1,18.746938775510205
14,1,20.114943310657598
15,1,21.460249433106576
16,1,22.823650793650792
17,1,24.176530612244896
18,1,25.554489795918368
19,1,26.918367346938776
20,1,28.29201814058957
21,1,29.612244897959183
22,1,30.946938775510205
23,1,32.31852607709751
24,1,33.68163265306122
25,1,35.00238095238095
26,1,36.40408163265306
27,1,37.74285714285714
28,1,39.082403628117916
29,1,40.412018140589566
30,1,41.766394557823126
31,1,43.157936507936505
32,1,44.47986394557823
33,1,45.80485260770975
34,1,47.13687074829932
35,1,48.518367346938774
36,1,49.87823129251701
37,1,51.234807256235825
38,1,52.5768253968254
39,1,53.940589569161
40,1,55.33641723356009
41,1,56.67891156462585
42,1,58.013990929705216
43,1,59.32380952380952
44,1,60.710408163265306
45,1,62.03108843537415
46,1,63.36263038548753
47,1,64.68979591836735
48,1,66.03705215419501
49,1,67.45986394557823
50,1,68.84489795918367
51,1,70.18775510204081
52,1,71.568820861678
53,1,72.95895691609978
54,1,74.3007709750567
55,1,75.6482993197279
56,1,76.99260770975057
57,1,78.36884353741496
58,1,79.76727891156463
59,1,81.11891156462585
60,1,82.46616780045352
61,1,83.82664399092971
62,1,85.17131519274376
63,1,86.54956916099773
64,1,87.99383219954649
65,1,89.31510204081633
66,1,90.68816326530612
67,1,92.03954648526077
68,1,93.40020408163265
69,1,94.79052154195011
70,1,96.14285714285714
71,1,97.53090702947846
72,1,98.8985260770975
73,1,100.27439909297053
74,1,101.66151927437642
75,1,103.02521541950114
76,1,104.44628117913832
77,1,105.79126984126984
78,1,107.16734693877551
79,1,108.56326530612245
80,1,109.95036281179138
81,1,111.27637188208617
82,1,112.63863945578231
83,1,114.03308390022676
84,1,115.40630385487529
85,1,116.78539682539683
