bar,beat,onset
-2,1,1.496575963718821
-1,1,2.3963038548752835
0,1,3.3047619047619046
1,1,4.195691609977324
2,1,5.131609977324263
3,1,6.022607709750567
4,1,6.918820861678005
5,1,7.783401360544218
6,1,8.683696145124717
7,1,9.578684807256236
8,1,10.455192743764172
9,1,11.32843537414966
10,1,12.238027210884354
11,1,13.13281179138322
12,1,14.017301587301587
13,1,14.914399092970521
14,1,15.7984126984127
15,1,16.68122448979592
16,1,17.560657596371883
17,1,18.437052154195012
18,1,19.32390022675737
19,1,20.185034013605442
20,1,21.0775283446712
21,1,21.960362811791384
22,1,22.827891156462584
23,1,23.73106575963719
24,1,24.595736961451248
25,1,25.43596371882086
26,1,26.33219954648526
27,1,27.2318820861678
28,1,28.11471655328798
29,1,29.005963718820862
30,1,29.883628117913833
31,1,30.7443537414966
32,1,31.64095238095238
33,1,32.53006802721089
34,1,33.389433106575964
35,1,34.28099773242631
36,1,35.168458049886624
37,1,36.02548752834467
38,1,36.91773242630386
39,1,37.775510204081634
40,1,38.623673469387754
41,1,39.514172335600904
42,1,40.35972789115646
43,1,41.25852607709751
44,1,42.13897959183674
45,1,42.99718820861678
46,1,43.89283446712018
47,1,44.75705215419501
48,1,45.62662131519274
49,1,46.47473922902494
50,1,47.352108843537415
51,1,48.2274149659864
52,1,49.08668934240363
53,1,49.96321995464853
54,1,50.84031746031746
55,1,51.7140589569161
56,1,52.58956916099773
57,1,53.44761904761905
58,1,54.309433106575966
59,1,55.174399092970525
60,1,56.045260770975055
61,1,56.89759637188209
62,1,57.80242630385487
63,1,58.65265306122449
64,1,59.51392290249433
65,1,60.36891156462585
66,1,61.23929705215419
67,1,62.11823129251701
68,1,62.988571428571426
69,1,63.84312925170068
70,1,64.68201814058956
71,1,65.52272108843538
72,1,66.43399092970522
73,1,67.302947845805
74,1,68.15063492063491
75,1,69.00680272108843
76,1,69.88283446712018
77,1,70.77961451247165
78,1,71.65131519274377
79,1,72.51689342403628
80,1,73.37383219954648
81,1,74.21124716553288
82,1,75.05997732426304
83,1,75.91773242630386
84,1,76.79380952380953
85,1,77.62789115646258
86,1,78.48544217687075
87,1,79.32748299319728
88,1,80.1730612244898
89,1,81.06233560090703
90,1,81.90258503401361
91,1,82.7708843537415
92,1,83.62666666666667
93,1,84.51238095238095
94,1,85.37408163265306
95,1,86.21156462585034
96,1,87.0674149659864
97,1,87.8912925170068
98,1,88.78730158730158
99,1,89.62630385487529
100,1,90.51768707482994
101,1,91.3446485260771
102,1,92.19471655328798
103,1,93.06052154195011
104,1,93.92476190476191
105,1,94.77666666666667
106,1,95.62133786848072
107,1,96.4746485260771
108,1,97.33360544217688
109,1,98.18571428571428
110,1,99.04263038548753
111,1,99.92879818594105
112,1,100.79875283446712
113,1,101.6646485260771
114,1,102.48630385487529
115,1,103.32825396825397
116,1,104.2043537414966
117,1,105.08671201814059
118,1,105.94249433106576
119,1,106.80326530612246
120,1,107.65993197278911
121,1,108.54140589569161
122,1,109.42174603174603
123,1,110.24884353741497
124,1,111.16401360544218
125,1,112.01562358276644
126,1,112.86530612244898
127,1,113.7226984126984
