bar,beat,onset
-3,1,3.605124716553288
-2,1,4.653106575963719
-1,1,5.666167800453515
0,1,6.737936507936508
1,1,7.805510204081632
2,1,8.818662131519275
3,1,9.86655328798186
4,1,10.834988662131519
5,1,11.857868480725623
6,1,12.935102040816327
7,1,13.948412698412698
8,1,14.970226757369614
9,1,15.977891156462585
10,1,16.990952380952383
11,1,18.02907029478458
12,1,18.99766439909297
13,1,20.094489795918367
14,1,21.10766439909297
15,1,22.13047619047619
16,1,23.098185941043084
17,1,24.076371882086168
18,1,25.13417233560091
19,1,26.11249433106576
20,1,27.094784580498867
21,1,28.098344671201815
22,1,29.106213151927438
23,1,30.143265306122448
24,1,31.16183673469388
25,1,32.20426303854875
26,1,33.20750566893424
27,1,34.15108843537415
28,1,35.15791383219955
29,1,36.25120181405896
30,1,37.22845804988662
31,1,38.26122448979592
32,1,39.264421768707486
33,1,40.25233560090703
34,1,41.23074829931973
35,1,42.26342403628118
36,1,43.28625850340136
37,1,44.30503401360544
38,1,45.2831746031746
39,1,46.30043083900227
40,1,47.283197278911565
41,1,48.25371882086168
42,1,49.284467120181404
43,1,50.292154195011335
44,1,51.25081632653061
45,1,52.24861678004535
46,1,53.30641723356009
47,1,54.3087074829932
48,1,55.312108843537416
49,1,56.34478458049887
50,1,57.3524716553288
51,1,58.36557823129252
52,1,59.41351473922902
53,1,60.401541950113376
54,1,61.40507936507937
55,1,62.40190476190476
56,1,63.395442176870745
57,1,64.39303854875284
58,1,65.45077097505668
59,1,66.46383219954649
60,1,67.40739229024943
61,1,68.41074829931972
62,1,69.41734693877551
63,1,70.39548752834467
64,1,71.39907029478458
65,1,72.4568253968254
66,1,73.4643537414966
67,1,74.45795918367347
68,1,75.43614512471655
69,1,76.44281179138322
70,1,77.4811111111111
71,1,78.48430839002268
72,1,79.44730158730158
73,1,80.44092970521542
74,1,81.49319727891157
75,1,82.47138321995465
76,1,83.46403628117913
77,1,84.49684807256236
78,1,85.47519274376417
79,1,86.47836734693878
80,1,87.47616780045351
81,1,88.4544671201814
82,1,89.44165532879819
83,1,90.43512471655329
84,1,91.44823129251701
85,1,92.4461224489796
86,1,93.43963718820862
87,1,94.41249433106576
88,1,95.39521541950113
89,1,96.37353741496598
90,1,97.39662131519275
91,1,98.41945578231292
92,1,99.46185941043083
93,1,100.46514739229025
94,1,101.4434693877551
95,1,102.41111111111111
96,1,103.40884353741497
97,1,104.43160997732426
98,1,105.46444444444444
99,1,106.46773242630385
100,1,107.4112925170068
101,1,108.39426303854876
102,1,109.34727891156463
103,1,110.33530612244898
104,1,111.3136507936508
105,1,112.29746031746032
106,1,113.26934240362812
107,1,114.27253968253969
108,1,115.30530612244898
109,1,116.28904761904762
110,1,117.28689342403628
111,1,118.29024943310658
112,1,119.25859410430839
113,1,120.21079365079365
114,1,121.21428571428571
115,1,122.22172335600906
116,1,123.2054648526077
117,1,124.24786848072563
118,1,125.20668934240364
119,1,126.24918367346939
120,1,127.23632653061225
121,1,128.22433106575963
122,1,129.21791383219954
123,1,130.2060544217687
124,1,131.1549433106576
125,1,132.1421315192744
126,1,133.1300453514739
127,1,134.16299319727892
128,1,135.12163265306123
129,1,136.12482993197278
130,1,137.12263038548753
131,1,138.170589569161
132,1,139.1487074829932
133,1,140.1608843537415
134,1,141.14888888888888
135,1,142.12732426303856
136,1,143.16986394557824
137,1,144.16326530612244
138,1,145.2059863945578
