bar,beat,onset
0,1,6.002358276643991
1,1,8.881632653061224
2,1,11.798639455782313
3,1,14.733061224489797
4,1,17.61233560090703
5,1,20.58448979591837
6,1,23.5134693877551
7,1,26.43591836734694
8,1,29.361632653061225
9,1,32.23510204081633
10,1,35.17387755102041
11,1,38.12571428571429
12,1,41.06884353741496
13,1,43.946666666666665
14,1,46.86303854875283
15,1,49.75020408163265
16,1,52.693333333333335
17,1,55.52326530612245
18,1,58.418503401360546
19,1,61.31809523809524
20,1,64.2960544217687
21,1,67.2261224489796
22,1,70.16054421768708
23,1,73.15755102040816
24,1,76.07292517006803
25,1,78.97106575963718
26,1,81.9069387755102
27,1,84.8413605442177
28,1,87.74820861678005
29,1,90.59591836734694
30,1,93.50530612244899
31,1,96.45569160997732
32,1,99.45251700680272
33,1,102.43047619047618
